"","unique_id","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","Cunningham_test","tree_proportion","input_alignment_path"
"1","WEA17_BS_rep_1",1754,41,105,1900,0.923157894736842,47.38,46.5,14.9,88.3,"Treelike",0.168738021962346,0.998068880254644,0.851923957241355,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_1/WEA17_BS_rep_1.fa"
"2","WEA17_BS_rep_10",1769,28,103,1900,0.931052631578947,47.29,46.6,15.9,88.3,"Treelike",0.17355189638578,0.998026832051762,0.861282618453299,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_10/WEA17_BS_rep_10.fa"
"3","WEA17_BS_rep_100",1749,38,113,1900,0.920526315789474,47.52,46.1,14.6,88.4,"Treelike",0.177424951858045,0.997912896344883,0.845529080516353,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_100/WEA17_BS_rep_100.fa"
"4","WEA17_BS_rep_11",1751,41,108,1900,0.921578947368421,47.25,46.1,15.6,88.2,"Non-treelike",0.178146247061429,0.997671338688488,0.846429288153049,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_11/WEA17_BS_rep_11.fa"
"5","WEA17_BS_rep_12",1743,36,121,1900,0.917368421052632,47.48,46.3,14.9,89.1,"Treelike",0.176938588767163,0.99817420314649,0.84733585225585,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_12/WEA17_BS_rep_12.fa"
"6","WEA17_BS_rep_13",1742,38,120,1900,0.916842105263158,47.49,46.8,15,88.3,"Treelike",0.178481863962392,0.997874128691433,0.86372087496074,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_13/WEA17_BS_rep_13.fa"
"7","WEA17_BS_rep_14",1724,40,136,1900,0.907368421052632,47.31,46.2,15.1,87.9,"Treelike",0.17579987440843,0.998144188966798,0.866600757603429,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_14/WEA17_BS_rep_14.fa"
"8","WEA17_BS_rep_15",1759,36,105,1900,0.92578947368421,47.42,46.4,14.9,88.7,"Treelike",0.173248962237129,0.997969198582748,0.854405533698857,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_15/WEA17_BS_rep_15.fa"
"9","WEA17_BS_rep_16",1747,36,117,1900,0.919473684210526,47.51,46.5,15.7,87.7,"Treelike",0.176790049232581,0.997961794885217,0.841053758922841,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_16/WEA17_BS_rep_16.fa"
"10","WEA17_BS_rep_17",1753,35,112,1900,0.922631578947368,47.57,47,17.2,88.2,"Treelike",0.178641947381973,0.997905762098366,0.831340334063214,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_17/WEA17_BS_rep_17.fa"
"11","WEA17_BS_rep_18",1750,25,125,1900,0.921052631578947,47.41,46.1,15.3,88.2,"Treelike",0.179237427265973,0.997700927862216,0.840463831285733,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_18/WEA17_BS_rep_18.fa"
"12","WEA17_BS_rep_19",1772,35,93,1900,0.932631578947368,47.47,47,14.8,88.4,"Non-treelike",0.172153856398566,0.998122772796304,0.858959936852097,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_19/WEA17_BS_rep_19.fa"
"13","WEA17_BS_rep_2",1751,38,111,1900,0.921578947368421,47.62,46.6,14.8,88.6,"Treelike",0.174506389707464,0.997931899591687,0.831112527136393,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_2/WEA17_BS_rep_2.fa"
"14","WEA17_BS_rep_20",1762,38,100,1900,0.927368421052632,47.47,46.5,15,88.2,"Treelike",0.168757561207385,0.998109050216909,0.844743791070989,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_20/WEA17_BS_rep_20.fa"
"15","WEA17_BS_rep_21",1767,30,103,1900,0.93,47.58,46.5,15,87.9,"Non-treelike",0.179307775032177,0.998114078278543,0.873462684974842,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_21/WEA17_BS_rep_21.fa"
"16","WEA17_BS_rep_22",1730,37,133,1900,0.910526315789474,47.49,46.3,14.4,88.6,"Non-treelike",0.177290219308261,0.998008565215978,0.850393138949471,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_22/WEA17_BS_rep_22.fa"
"17","WEA17_BS_rep_23",1759,32,109,1900,0.92578947368421,47.7,46.6,15,88.5,"Treelike",0.175472706861078,0.997357780074289,0.845975649401566,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_23/WEA17_BS_rep_23.fa"
"18","WEA17_BS_rep_24",1753,45,102,1900,0.922631578947368,47.58,46.1,16,88.2,"Non-treelike",0.174597352433564,0.998048040375729,0.851694182789758,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_24/WEA17_BS_rep_24.fa"
"19","WEA17_BS_rep_25",1762,41,97,1900,0.927368421052632,47.4,46.3,14.7,88,"Non-treelike",0.173093289737258,0.99810209596171,0.842760159376586,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_25/WEA17_BS_rep_25.fa"
"20","WEA17_BS_rep_26",1738,39,123,1900,0.914736842105263,47.51,46.3,15,88.7,"Non-treelike",0.173426205946121,0.998258640063987,0.861243735003964,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_26/WEA17_BS_rep_26.fa"
"21","WEA17_BS_rep_27",1733,34,133,1900,0.912105263157895,47.5,46.7,14.9,88,"Non-treelike",0.180749551997282,0.997970483838205,0.84273825921167,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_27/WEA17_BS_rep_27.fa"
"22","WEA17_BS_rep_28",1755,41,104,1900,0.923684210526316,47.58,46.9,15.1,88.3,"Non-treelike",0.17641542336998,0.997635905780052,0.866378777463702,"/data/caitlin/treelikeness_metrics/empirical_treelikeness_output/WEA17_BS_rep_28/WEA17_BS_rep_28.fa"
