"","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"1",1,5,1,0.01,"exp1_00001_0005_001_0.01","JC",NA,10000,"DNA","exp1_00001_0005_001_0.01_random_trees.phy","exp1_00001_0005_001_0.01_partitions.nex","exp1_00001_0005_001_0.01_output_alignment"
"2",2,5,1,0.01,"exp1_00001_0005_002_0.01","JC",NA,10000,"DNA","exp1_00001_0005_002_0.01_random_trees.phy","exp1_00001_0005_002_0.01_partitions.nex","exp1_00001_0005_002_0.01_output_alignment"
"3",3,5,1,0.01,"exp1_00001_0005_003_0.01","JC",NA,10000,"DNA","exp1_00001_0005_003_0.01_random_trees.phy","exp1_00001_0005_003_0.01_partitions.nex","exp1_00001_0005_003_0.01_output_alignment"
"4",4,5,1,0.01,"exp1_00001_0005_004_0.01","JC",NA,10000,"DNA","exp1_00001_0005_004_0.01_random_trees.phy","exp1_00001_0005_004_0.01_partitions.nex","exp1_00001_0005_004_0.01_output_alignment"
"5",5,5,1,0.01,"exp1_00001_0005_005_0.01","JC",NA,10000,"DNA","exp1_00001_0005_005_0.01_random_trees.phy","exp1_00001_0005_005_0.01_partitions.nex","exp1_00001_0005_005_0.01_output_alignment"
"6",6,5,1,0.01,"exp1_00001_0005_006_0.01","JC",NA,10000,"DNA","exp1_00001_0005_006_0.01_random_trees.phy","exp1_00001_0005_006_0.01_partitions.nex","exp1_00001_0005_006_0.01_output_alignment"
"7",7,5,1,0.01,"exp1_00001_0005_007_0.01","JC",NA,10000,"DNA","exp1_00001_0005_007_0.01_random_trees.phy","exp1_00001_0005_007_0.01_partitions.nex","exp1_00001_0005_007_0.01_output_alignment"
"8",8,5,1,0.01,"exp1_00001_0005_008_0.01","JC",NA,10000,"DNA","exp1_00001_0005_008_0.01_random_trees.phy","exp1_00001_0005_008_0.01_partitions.nex","exp1_00001_0005_008_0.01_output_alignment"
"9",9,5,1,0.01,"exp1_00001_0005_009_0.01","JC",NA,10000,"DNA","exp1_00001_0005_009_0.01_random_trees.phy","exp1_00001_0005_009_0.01_partitions.nex","exp1_00001_0005_009_0.01_output_alignment"
"10",10,5,1,0.01,"exp1_00001_0005_010_0.01","JC",NA,10000,"DNA","exp1_00001_0005_010_0.01_random_trees.phy","exp1_00001_0005_010_0.01_partitions.nex","exp1_00001_0005_010_0.01_output_alignment"
"11",11,5,1,0.01,"exp1_00001_0005_011_0.01","JC",NA,10000,"DNA","exp1_00001_0005_011_0.01_random_trees.phy","exp1_00001_0005_011_0.01_partitions.nex","exp1_00001_0005_011_0.01_output_alignment"
"12",12,5,1,0.01,"exp1_00001_0005_012_0.01","JC",NA,10000,"DNA","exp1_00001_0005_012_0.01_random_trees.phy","exp1_00001_0005_012_0.01_partitions.nex","exp1_00001_0005_012_0.01_output_alignment"
"13",13,5,1,0.01,"exp1_00001_0005_013_0.01","JC",NA,10000,"DNA","exp1_00001_0005_013_0.01_random_trees.phy","exp1_00001_0005_013_0.01_partitions.nex","exp1_00001_0005_013_0.01_output_alignment"
