"row_id","uid","num_taxa","num_trees","tree_depth","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
1,"exp1_00001_0005_001_0.01",5,1,0.01,1,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00238819077001871,0,1,0.99999288816378,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_001_0.01/exp1_00001_0005_001_0.01_output_alignment.fa"
2,"exp1_00001_0005_002_0.01",5,1,0.01,2,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00799997054063889,9.36e-05,1,0.999981915301436,0.991241865050936,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_002_0.01/exp1_00001_0005_002_0.01_output_alignment.fa"
3,"exp1_00001_0005_003_0.01",5,1,0.01,3,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00393698712063357,0,1,0.999983379073177,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_003_0.01/exp1_00001_0005_003_0.01_output_alignment.fa"
4,"exp1_00001_0005_004_0.01",5,1,0.01,4,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.0227091983803191,0,1,0.999995171287404,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_004_0.01/exp1_00001_0005_004_0.01_output_alignment.fa"
5,"exp1_00001_0005_005_0.01",5,1,0.01,5,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.000656832313840841,0,1,0.999987932242489,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_005_0.01/exp1_00001_0005_005_0.01_output_alignment.fa"
6,"exp1_00001_0005_006_0.01",5,1,0.01,6,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.000618704501347485,0,1,0.999993613309972,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_006_0.01/exp1_00001_0005_006_0.01_output_alignment.fa"
7,"exp1_00001_0005_007_0.01",5,1,0.01,7,"JC",NA,10000,"DNA",71,0,54,125,0.568,100,100,100,100,"Treelike",0.17904375853949,3.84e-05,1,0.999987910255879,0.888888888888889,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_007_0.01/exp1_00001_0005_007_0.01_output_alignment.fa"
8,"exp1_00001_0005_008_0.01",5,1,0.01,8,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.000927940997290441,0,1,0.999989251371138,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_008_0.01/exp1_00001_0005_008_0.01_output_alignment.fa"
9,"exp1_00001_0005_009_0.01",5,1,0.01,9,"JC",NA,10000,"DNA",125,0,0,125,1,96.38,96.38,94.46,98.3,"Treelike",0.0371992706900879,0.0006632,1,0.999828802024959,0.968085106382979,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_009_0.01/exp1_00001_0005_009_0.01_output_alignment.fa"
10,"exp1_00001_0005_010_0.01",5,1,0.01,10,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00120906793558403,0,1,0.999993163707959,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_010_0.01/exp1_00001_0005_010_0.01_output_alignment.fa"
11,"exp1_00001_0005_011_0.01",5,1,0.01,11,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.000794814786123662,0,1,0.999997256101094,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_011_0.01/exp1_00001_0005_011_0.01_output_alignment.fa"
12,"exp1_00001_0005_012_0.01",5,1,0.01,12,"JC",NA,10000,"DNA",125,0,0,125,1,99.2,99.2,98.41,100,"Treelike",0.00972836865676652,0.0002998,1,0.999935009841934,0.98421052631579,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_012_0.01/exp1_00001_0005_012_0.01_output_alignment.fa"
13,"exp1_00001_0005_013_0.01",5,1,0.01,13,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00802629526940994,3.42e-05,1,0.99998036196986,0.993975903614458,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_013_0.01/exp1_00001_0005_013_0.01_output_alignment.fa"
14,"exp1_00001_0005_014_0.01",5,1,0.01,14,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.0148853172123117,4.96e-05,1,0.999990786866012,0.985915492957746,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_014_0.01/exp1_00001_0005_014_0.01_output_alignment.fa"
15,"exp1_00001_0005_015_0.01",5,1,0.01,15,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.0204224267488607,0.0002688,1,0.999971222161737,0.966101694915254,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_015_0.01/exp1_00001_0005_015_0.01_output_alignment.fa"
16,"exp1_00001_0005_016_0.01",5,1,0.01,16,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00864818776910693,3.56e-05,1,0.999943149192081,0.993939393939394,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_016_0.01/exp1_00001_0005_016_0.01_output_alignment.fa"
17,"exp1_00001_0005_017_0.01",5,1,0.01,17,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00509129171031296,0,1,0.999994414493614,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_017_0.01/exp1_00001_0005_017_0.01_output_alignment.fa"
18,"exp1_00001_0005_018_0.01",5,1,0.01,18,"JC",NA,10000,"DNA",125,0,0,125,1,83.34,83.34,66.67,100,"Treelike",0.260107553564066,0.0003086,1,0.999940955156377,0.971698113207547,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_018_0.01/exp1_00001_0005_018_0.01_output_alignment.fa"
1,"exp1_00001_0005_019_0.01",5,1,0.01,19,"JC",NA,10000,"DNA",125,0,0,125,1,98.71,98.71,98.28,99.14,"Treelike",0.0142331316632469,0.0001392,1,0.999975464551918,0.987012987012987,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_019_0.01/exp1_00001_0005_019_0.01_output_alignment.fa"
20,"exp1_00001_0005_020_0.01",5,1,0.01,20,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.000809828545843758,0,1,0.999994293195973,1,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0005_020_0.01/exp1_00001_0005_020_0.01_output_alignment.fa"
101,"exp1_00001_0010_001_0.01",10,1,0.01,1,"JC",NA,10000,"DNA",250,0,0,250,1,97.44,100,84.67,100,"Treelike",0.0467314582304775,0.0002066,1,0.999943862387998,0.979935432017173,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_001_0.01/exp1_00001_0010_001_0.01_output_alignment.fa"
102,"exp1_00001_0010_002_0.01",10,1,0.01,2,"JC",NA,10000,"DNA",241,9,0,250,0.964,94.99,100,66.67,100,"Treelike",0.090423509007174,0.0002845,1,0.999907707262434,0.98,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_002_0.01/exp1_00001_0010_002_0.01_output_alignment.fa"
103,"exp1_00001_0010_003_0.01",10,1,0.01,3,"JC",NA,10000,"DNA",250,0,0,250,1,100,100,100,100,"Treelike",0.0102026035435378,2.94e-05,1,0.999983422020748,0.990695316345412,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_003_0.01/exp1_00001_0010_003_0.01_output_alignment.fa"
104,"exp1_00001_0010_004_0.01",10,1,0.01,4,"JC",NA,10000,"DNA",250,0,0,250,1,98.2,100,87.4,100,"Treelike",0.025828226743381,0.0002434,1,0.999932431957066,0.971073856822877,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_004_0.01/exp1_00001_0010_004_0.01_output_alignment.fa"
105,"exp1_00001_0010_005_0.01",10,1,0.01,5,"JC",NA,10000,"DNA",250,0,0,250,1,99.48,100,96.33,100,"Treelike",0.0413106927470434,0.0001256,1,0.999966240671612,0.981013583240002,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_005_0.01/exp1_00001_0010_005_0.01_output_alignment.fa"
106,"exp1_00001_0010_006_0.01",10,1,0.01,6,"JC",NA,10000,"DNA",250,0,0,250,1,100,100,100,100,"Treelike",0.0267235390044034,0.0001342,1,0.999955277656359,0.988849888532431,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_006_0.01/exp1_00001_0010_006_0.01_output_alignment.fa"
107,"exp1_00001_0010_007_0.01",10,1,0.01,7,"JC",NA,10000,"DNA",250,0,0,250,1,97.86,100,91,100,"Treelike",0.0383588817082494,5.45e-05,1,0.999975061457417,0.98281784377546,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_007_0.01/exp1_00001_0010_007_0.01_output_alignment.fa"
108,"exp1_00001_0010_008_0.01",10,1,0.01,8,"JC",NA,10000,"DNA",250,0,0,250,1,94.52,98.11,80.17,100,"Treelike",0.0544450627960391,0.0001826,1,0.999941051371212,0.973919506120134,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_008_0.01/exp1_00001_0010_008_0.01_output_alignment.fa"
109,"exp1_00001_0010_009_0.01",10,1,0.01,9,"JC",NA,10000,"DNA",250,0,0,250,1,100,100,100,100,"Treelike",0.00963476007506912,4.16e-05,1,0.999980408592502,0.991566980057829,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_009_0.01/exp1_00001_0010_009_0.01_output_alignment.fa"
110,"exp1_00001_0010_010_0.01",10,1,0.01,10,"JC",NA,10000,"DNA",250,0,0,250,1,100,100,100,100,"Treelike",0.0126124465427791,6.33e-05,1,0.999969815922812,0.989217809169535,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_010_0.01/exp1_00001_0010_010_0.01_output_alignment.fa"
111,"exp1_00001_0010_011_0.01",10,1,0.01,11,"JC",NA,10000,"DNA",220,0,30,250,0.88,84.38,100,0,100,"Treelike",0.0741431104678107,0.0001248,1,0.999957190522044,0.988027292547361,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_011_0.01/exp1_00001_0010_011_0.01_output_alignment.fa"
112,"exp1_00001_0010_012_0.01",10,1,0.01,12,"JC",NA,10000,"DNA",250,0,0,250,1,99.97,100,99.76,100,"Treelike",0.0110135464796013,0.0001357,1,0.999962714245782,0.984962406015038,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_012_0.01/exp1_00001_0010_012_0.01_output_alignment.fa"
113,"exp1_00001_0010_013_0.01",10,1,0.01,13,"JC",NA,10000,"DNA",250,0,0,250,1,100,100,100,100,"Treelike",0.0113373969300551,8.68e-05,1,0.99995692544651,0.987403442656121,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_013_0.01/exp1_00001_0010_013_0.01_output_alignment.fa"
114,"exp1_00001_0010_014_0.01",10,1,0.01,14,"JC",NA,10000,"DNA",250,0,0,250,1,96.67,100,87.8,100,"Treelike",0.033440340657148,9.19e-05,1,0.999957008734847,0.98220751732221,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_014_0.01/exp1_00001_0010_014_0.01_output_alignment.fa"
115,"exp1_00001_0010_015_0.01",10,1,0.01,15,"JC",NA,10000,"DNA",250,0,0,250,1,96.87,100,81.33,100,"Treelike",0.0299253911633475,0.0001058,1,0.999960445946561,0.985652293116501,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_015_0.01/exp1_00001_0010_015_0.01_output_alignment.fa"
116,"exp1_00001_0010_016_0.01",10,1,0.01,16,"JC",NA,10000,"DNA",225,0,25,250,0.9,85.35,100,0,100,"Treelike",0.0442197441754998,7.44e-05,1,0.999965274292741,0.990872934647059,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_016_0.01/exp1_00001_0010_016_0.01_output_alignment.fa"
117,"exp1_00001_0010_017_0.01",10,1,0.01,17,"JC",NA,10000,"DNA",250,0,0,250,1,100,100,100,100,"Treelike",0.0058126392727667,2.54e-05,1,0.999971524362216,0.996168582375479,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_017_0.01/exp1_00001_0010_017_0.01_output_alignment.fa"
118,"exp1_00001_0010_018_0.01",10,1,0.01,18,"JC",NA,10000,"DNA",250,0,0,250,1,99.51,100,96.74,100,"Treelike",0.0126238349625603,0.0001477,1,0.999941624224488,0.980179465004297,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_018_0.01/exp1_00001_0010_018_0.01_output_alignment.fa"
6,"exp1_00001_0010_019_0.01",10,1,0.01,19,"JC",NA,10000,"DNA",250,0,0,250,1,99.92,100,99.44,100,"Treelike",0.0101171861959804,4.63e-05,1,0.999975699251633,0.987692307692308,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_019_0.01/exp1_00001_0010_019_0.01_output_alignment.fa"
120,"exp1_00001_0010_020_0.01",10,1,0.01,20,"JC",NA,10000,"DNA",233,0,17,250,0.932,84.13,100,0,100,"Treelike",0.0427736542026027,7.06e-05,1,0.999957006820499,0.989473684210526,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0010_020_0.01/exp1_00001_0010_020_0.01_output_alignment.fa"
201,"exp1_00001_0020_001_0.01",20,1,0.01,1,"JC",NA,10000,"DNA",490,2,8,500,0.98,92.18,100,0,100,"Treelike",0.034059484164127,0.0001517,1,0.999908347165085,0.970240490325373,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_001_0.01/exp1_00001_0020_001_0.01_output_alignment.fa"
202,"exp1_00001_0020_002_0.01",20,1,0.01,2,"JC",NA,10000,"DNA",499,0,1,500,0.998,94.36,100,17,100,"Treelike",0.0188925231048089,0.00013955,1,0.999911860682888,0.98151685735949,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_002_0.01/exp1_00001_0020_002_0.01_output_alignment.fa"
203,"exp1_00001_0020_003_0.01",20,1,0.01,3,"JC",NA,10000,"DNA",481,0,19,500,0.962,93.93,100,0,100,"Treelike",0.0229782263255848,9.225e-05,1,0.99994250999357,0.985671698899595,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_003_0.01/exp1_00001_0020_003_0.01_output_alignment.fa"
204,"exp1_00001_0020_004_0.01",20,1,0.01,4,"JC",NA,10000,"DNA",485,1,14,500,0.97,94.04,100,0,100,"Treelike",0.0296071326334951,0.00012825,1,0.99993813817741,0.98175801001452,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_004_0.01/exp1_00001_0020_004_0.01_output_alignment.fa"
205,"exp1_00001_0020_005_0.01",20,1,0.01,5,"JC",NA,10000,"DNA",485,1,14,500,0.97,94.11,100,0,100,"Treelike",0.0323713365806865,9.145e-05,1,0.99993717297534,0.982300592185167,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_005_0.01/exp1_00001_0020_005_0.01_output_alignment.fa"
206,"exp1_00001_0020_006_0.01",20,1,0.01,6,"JC",NA,10000,"DNA",497,0,3,500,0.994,99.97,100,99.57,100,"Treelike",0.0185693219359391,0.0001747,1,0.99990501546993,0.974205833247153,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_006_0.01/exp1_00001_0020_006_0.01_output_alignment.fa"
207,"exp1_00001_0020_007_0.01",20,1,0.01,7,"JC",NA,10000,"DNA",499,0,1,500,0.998,93.87,100,0,100,"Treelike",0.0258990801423986,5.94e-05,1,0.999968324645665,0.991308125743525,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00001_0020_007_0.01/exp1_00001_0020_007_0.01_output_alignment.fa"
