"uid","tree_proportion"
"exp1_00001_0005_001_1e-04","1"
"exp1_00001_0005_002_1e-04","1"
"exp1_00001_0005_003_1e-04","1"
"exp1_00001_0005_004_1e-04","1"
"exp1_00001_0005_005_1e-04","1"
"exp1_00001_0005_006_1e-04","1"
"exp1_00001_0005_007_1e-04","1"
"exp1_00001_0005_008_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00001_0005_009_1e-04","1"
"exp1_00001_0005_010_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00001_0010_001_1e-04","1"
"exp1_00001_0010_002_1e-04","1"
"exp1_00001_0010_003_1e-04","1"
"exp1_00001_0010_004_1e-04","1"
"exp1_00001_0010_005_1e-04","1"
"exp1_00001_0010_006_1e-04","1"
"exp1_00001_0010_007_1e-04","1"
"exp1_00001_0010_008_1e-04","1"
"exp1_00001_0010_009_1e-04","1"
"exp1_00001_0010_010_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00001_0020_001_1e-04","1"
"exp1_00001_0020_002_1e-04","1"
"exp1_00001_0020_003_1e-04","1"
"exp1_00001_0020_004_1e-04","1"
"exp1_00001_0020_005_1e-04","1"
"exp1_00001_0020_006_1e-04","1"
"exp1_00001_0020_007_1e-04","1"
"exp1_00001_0020_008_1e-04","1"
"exp1_00001_0020_009_1e-04","1"
"exp1_00001_0020_010_1e-04","1"
"exp1_00001_0050_001_1e-04","1"
"exp1_00001_0050_002_1e-04","1"
"exp1_00001_0050_003_1e-04","1"
"exp1_00001_0050_004_1e-04","1"
"exp1_00001_0050_005_1e-04","1"
"exp1_00001_0050_006_1e-04","1"
"exp1_00001_0050_007_1e-04","1"
"exp1_00001_0050_008_1e-04","1"
"exp1_00001_0050_009_1e-04","1"
"exp1_00001_0050_010_1e-04","1"
"exp1_00001_0100_001_1e-04","1"
"exp1_00001_0100_002_1e-04","0.976190476190476"
"exp1_00001_0100_003_1e-04","1"
"exp1_00001_0100_004_1e-04","1"
"exp1_00001_0100_005_1e-04","1"
"exp1_00001_0100_006_1e-04","1"
"exp1_00001_0100_007_1e-04","1"
"exp1_00001_0100_008_1e-04","1"
"exp1_00001_0100_009_1e-04","1"
"exp1_00001_0100_010_1e-04","1"
"exp1_00002_0005_001_1e-04","1"
"exp1_00002_0005_002_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00002_0005_003_1e-04","1"
"exp1_00002_0005_004_1e-04","1"
"exp1_00002_0005_005_1e-04","1"
"exp1_00002_0005_006_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00002_0005_007_1e-04","1"
"exp1_00002_0005_008_1e-04","1"
"exp1_00002_0005_009_1e-04","1"
"exp1_00002_0005_010_1e-04","0.666666666666667"
"exp1_00002_0010_001_1e-04","1"
"exp1_00002_0010_002_1e-04","1"
"exp1_00002_0010_003_1e-04","0.333333333333333"
"exp1_00002_0010_004_1e-04","1"
"exp1_00002_0010_005_1e-04","1"
"exp1_00002_0010_006_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00002_0010_007_1e-04","0.666666666666667"
"exp1_00002_0010_008_1e-04","0.767840487382742"
"exp1_00002_0010_009_1e-04","0.666666666666667"
"exp1_00002_0010_010_1e-04","0.6"
"exp1_00002_0020_001_1e-04","0.666666666666667"
"exp1_00002_0020_002_1e-04","1"
"exp1_00002_0020_003_1e-04","0.857142857142857"
"exp1_00002_0020_004_1e-04","1"
"exp1_00002_0020_005_1e-04","0.625"
"exp1_00002_0020_006_1e-04","0.75"
"exp1_00002_0020_007_1e-04","1"
"exp1_00002_0020_008_1e-04","0.794349472691685"
"exp1_00002_0020_009_1e-04","0.714285714285714"
"exp1_00002_0020_010_1e-04","0.679933983342707"
"exp1_00002_0050_001_1e-04","0.8"
"exp1_00002_0050_002_1e-04","1"
"exp1_00002_0050_003_1e-04","0.658822964202596"
"exp1_00002_0050_004_1e-04","0.729014221602406"
"exp1_00002_0050_005_1e-04","1"
"exp1_00002_0050_006_1e-04","0.85"
"exp1_00002_0050_007_1e-04","1"
"exp1_00002_0050_008_1e-04","0.875"
"exp1_00002_0050_009_1e-04","0.883290150494615"
"exp1_00002_0050_010_1e-04","0.9"
"exp1_00002_0100_001_1e-04","0.67114067842631"
"exp1_00002_0100_002_1e-04","0.610544483127502"
"exp1_00002_0100_003_1e-04","0.761668966988834"
"exp1_00002_0100_004_1e-04","0.835227804551039"
"exp1_00002_0100_005_1e-04","0.947368421052632"
"exp1_00002_0100_006_1e-04","0.831348898850258"
"exp1_00002_0100_007_1e-04","0.603682771901723"
"exp1_00002_0100_008_1e-04","0.734738039565315"
"exp1_00002_0100_009_1e-04","0.740087932757653"
"exp1_00002_0100_010_1e-04","0.716092488025368"
"exp1_00004_0005_001_1e-04","1"
"exp1_00004_0005_002_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00004_0005_003_1e-04","0.5"
"exp1_00004_0005_004_1e-04","0.666666666666667"
"exp1_00004_0005_005_1e-04","0.666666666666667"
"exp1_00004_0005_006_1e-04","1"
"exp1_00004_0005_007_1e-04","1"
"exp1_00004_0005_008_1e-04","1"
"exp1_00004_0005_009_1e-04","1"
"exp1_00004_0005_010_1e-04","1"
"exp1_00004_0010_001_1e-04","0.666666666666667"
"exp1_00004_0010_002_1e-04","0.666666666666667"
"exp1_00004_0010_003_1e-04","0.808242755009983"
"exp1_00004_0010_004_1e-04","0.5"
"exp1_00004_0010_005_1e-04","0.821482130031572"
"exp1_00004_0010_006_1e-04","1"
"exp1_00004_0010_007_1e-04","0.704814245957562"
"exp1_00004_0010_008_1e-04","0.75"
"exp1_00004_0010_009_1e-04","1"
"exp1_00004_0010_010_1e-04","0.75"
"exp1_00004_0020_001_1e-04","1"
"exp1_00004_0020_002_1e-04","0.888888888888889"
"exp1_00004_0020_003_1e-04","0.541114055440884"
"exp1_00004_0020_004_1e-04","0.5"
"exp1_00004_0020_005_1e-04","1"
"exp1_00004_0020_006_1e-04","0.614884752548939"
"exp1_00004_0020_007_1e-04","0.691260184606858"
"exp1_00004_0020_008_1e-04","0.680998711654943"
"exp1_00004_0020_009_1e-04","0.670509782975301"
"exp1_00004_0020_010_1e-04","0.651270027599541"
