"","row_id","num_reps","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","starting_tree_file","gene_tree_file","partition_file","output_alignment_file"
"1",1,1,10,250,0.1,0,"Ancient","exp2_00250_0010_001_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_0.1_0_Ancient/exp2_00250_0010_001_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_0.1_0_Ancient/exp2_00250_0010_001_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_0.1_0_Ancient/exp2_00250_0010_001_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_0.1_0_Ancient/exp2_00250_0010_001_0.1_0_Ancient_output_alignment.fa"
"2",2,2,10,250,0.1,0,"Ancient","exp2_00250_0010_002_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_0.1_0_Ancient/exp2_00250_0010_002_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_0.1_0_Ancient/exp2_00250_0010_002_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_0.1_0_Ancient/exp2_00250_0010_002_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_0.1_0_Ancient/exp2_00250_0010_002_0.1_0_Ancient_output_alignment.fa"
"3",3,3,10,250,0.1,0,"Ancient","exp2_00250_0010_003_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_0.1_0_Ancient/exp2_00250_0010_003_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_0.1_0_Ancient/exp2_00250_0010_003_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_0.1_0_Ancient/exp2_00250_0010_003_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_0.1_0_Ancient/exp2_00250_0010_003_0.1_0_Ancient_output_alignment.fa"
"4",4,4,10,250,0.1,0,"Ancient","exp2_00250_0010_004_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_0.1_0_Ancient/exp2_00250_0010_004_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_0.1_0_Ancient/exp2_00250_0010_004_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_0.1_0_Ancient/exp2_00250_0010_004_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_0.1_0_Ancient/exp2_00250_0010_004_0.1_0_Ancient_output_alignment.fa"
"5",5,5,10,250,0.1,0,"Ancient","exp2_00250_0010_005_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_0.1_0_Ancient/exp2_00250_0010_005_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_0.1_0_Ancient/exp2_00250_0010_005_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_0.1_0_Ancient/exp2_00250_0010_005_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_0.1_0_Ancient/exp2_00250_0010_005_0.1_0_Ancient_output_alignment.fa"
"6",6,6,10,250,0.1,0,"Ancient","exp2_00250_0010_006_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_0.1_0_Ancient/exp2_00250_0010_006_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_0.1_0_Ancient/exp2_00250_0010_006_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_0.1_0_Ancient/exp2_00250_0010_006_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_0.1_0_Ancient/exp2_00250_0010_006_0.1_0_Ancient_output_alignment.fa"
"7",7,7,10,250,0.1,0,"Ancient","exp2_00250_0010_007_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_0.1_0_Ancient/exp2_00250_0010_007_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_0.1_0_Ancient/exp2_00250_0010_007_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_0.1_0_Ancient/exp2_00250_0010_007_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_0.1_0_Ancient/exp2_00250_0010_007_0.1_0_Ancient_output_alignment.fa"
"8",8,8,10,250,0.1,0,"Ancient","exp2_00250_0010_008_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_0.1_0_Ancient/exp2_00250_0010_008_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_0.1_0_Ancient/exp2_00250_0010_008_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_0.1_0_Ancient/exp2_00250_0010_008_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_0.1_0_Ancient/exp2_00250_0010_008_0.1_0_Ancient_output_alignment.fa"
"9",9,9,10,250,0.1,0,"Ancient","exp2_00250_0010_009_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_0.1_0_Ancient/exp2_00250_0010_009_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_0.1_0_Ancient/exp2_00250_0010_009_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_0.1_0_Ancient/exp2_00250_0010_009_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_0.1_0_Ancient/exp2_00250_0010_009_0.1_0_Ancient_output_alignment.fa"
"10",10,10,10,250,0.1,0,"Ancient","exp2_00250_0010_010_0.1_0_Ancient","JC",NA,250000,"DNA","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_0.1_0_Ancient/exp2_00250_0010_010_0.1_0_Ancient_starting_tree.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_0.1_0_Ancient/exp2_00250_0010_010_0.1_0_Ancient_ms_gene_trees.txt","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_0.1_0_Ancient/exp2_00250_0010_010_0.1_0_Ancient_partitions.nex","/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_0.1_0_Ancient/exp2_00250_0010_010_0.1_0_Ancient_output_alignment.fa"
