"","num_reps","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","partition_file","output_alignment_file"
"11",1,10,250,0.1,0,"Ancient","exp2_00250_0010_001_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_001_0.1_0_Ancient_partitions.nex","exp2_00250_0010_001_0.1_0_Ancient_output_alignment"
"12",2,10,250,0.1,0,"Ancient","exp2_00250_0010_002_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_002_0.1_0_Ancient_partitions.nex","exp2_00250_0010_002_0.1_0_Ancient_output_alignment"
"13",3,10,250,0.1,0,"Ancient","exp2_00250_0010_003_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_003_0.1_0_Ancient_partitions.nex","exp2_00250_0010_003_0.1_0_Ancient_output_alignment"
"14",4,10,250,0.1,0,"Ancient","exp2_00250_0010_004_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_004_0.1_0_Ancient_partitions.nex","exp2_00250_0010_004_0.1_0_Ancient_output_alignment"
"15",5,10,250,0.1,0,"Ancient","exp2_00250_0010_005_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_005_0.1_0_Ancient_partitions.nex","exp2_00250_0010_005_0.1_0_Ancient_output_alignment"
"16",6,10,250,0.1,0,"Ancient","exp2_00250_0010_006_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_006_0.1_0_Ancient_partitions.nex","exp2_00250_0010_006_0.1_0_Ancient_output_alignment"
"17",7,10,250,0.1,0,"Ancient","exp2_00250_0010_007_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_007_0.1_0_Ancient_partitions.nex","exp2_00250_0010_007_0.1_0_Ancient_output_alignment"
"18",8,10,250,0.1,0,"Ancient","exp2_00250_0010_008_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_008_0.1_0_Ancient_partitions.nex","exp2_00250_0010_008_0.1_0_Ancient_output_alignment"
"19",9,10,250,0.1,0,"Ancient","exp2_00250_0010_009_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_009_0.1_0_Ancient_partitions.nex","exp2_00250_0010_009_0.1_0_Ancient_output_alignment"
"20",10,10,250,0.1,0,"Ancient","exp2_00250_0010_010_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0010_010_0.1_0_Ancient_partitions.nex","exp2_00250_0010_010_0.1_0_Ancient_output_alignment"
"21",1,20,250,0.1,0,"Ancient","exp2_00250_0020_001_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_001_0.1_0_Ancient_partitions.nex","exp2_00250_0020_001_0.1_0_Ancient_output_alignment"
"22",2,20,250,0.1,0,"Ancient","exp2_00250_0020_002_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_002_0.1_0_Ancient_partitions.nex","exp2_00250_0020_002_0.1_0_Ancient_output_alignment"
"23",3,20,250,0.1,0,"Ancient","exp2_00250_0020_003_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_003_0.1_0_Ancient_partitions.nex","exp2_00250_0020_003_0.1_0_Ancient_output_alignment"
"24",4,20,250,0.1,0,"Ancient","exp2_00250_0020_004_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_004_0.1_0_Ancient_partitions.nex","exp2_00250_0020_004_0.1_0_Ancient_output_alignment"
"25",5,20,250,0.1,0,"Ancient","exp2_00250_0020_005_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_005_0.1_0_Ancient_partitions.nex","exp2_00250_0020_005_0.1_0_Ancient_output_alignment"
"26",6,20,250,0.1,0,"Ancient","exp2_00250_0020_006_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_006_0.1_0_Ancient_partitions.nex","exp2_00250_0020_006_0.1_0_Ancient_output_alignment"
"27",7,20,250,0.1,0,"Ancient","exp2_00250_0020_007_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_007_0.1_0_Ancient_partitions.nex","exp2_00250_0020_007_0.1_0_Ancient_output_alignment"
"28",8,20,250,0.1,0,"Ancient","exp2_00250_0020_008_0.1_0_Ancient","JC",NA,250000,"DNA","exp2_00250_0020_008_0.1_0_Ancient_partitions.nex","exp2_00250_0020_008_0.1_0_Ancient_output_alignment"
