"row_id","uid","num_taxa","num_trees","tree_depth_coalescent","recombination_value","recombination_type","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
1,"exp2_00250_0010_001_0.1_0_Ancient",10,250,0.1,0,"Ancient",1,"JC",NA,250000,"DNA",250,0,0,250,1,59.96,62.08,42.93,80.87,"Non-treelike",0.082819180055783,0.0003782,"no_TIGER_run",0.994770402221828,0.915191741198768,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_0.1_0_Ancient/exp2_00250_0010_001_0.1_0_Ancient_output_alignment.fa"
2,"exp2_00250_0010_002_0.1_0_Ancient",10,250,0.1,0,"Ancient",2,"JC",NA,250000,"DNA",250,0,0,250,1,53.8,38.84,33.26,97.8,"Non-treelike",0.190338376956985,0.0003643,"no_TIGER_run",0.993566972686112,0.945487292258637,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_0.1_0_Ancient/exp2_00250_0010_002_0.1_0_Ancient_output_alignment.fa"
3,"exp2_00250_0010_003_0.1_0_Ancient",10,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA",250,0,0,250,1,62.08,53.22,38.33,97.63,"Non-treelike",0.0978104443606878,0.0003158,"no_TIGER_run",0.99573041569291,0.961303055676426,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_0.1_0_Ancient/exp2_00250_0010_003_0.1_0_Ancient_output_alignment.fa"
4,"exp2_00250_0010_004_0.1_0_Ancient",10,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA",250,0,0,250,1,61.11,59.53,35.44,98.85,"Non-treelike",0.0847379624698309,0.0002846,"no_TIGER_run",0.994534350307475,0.959767352086734,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_0.1_0_Ancient/exp2_00250_0010_004_0.1_0_Ancient_output_alignment.fa"
5,"exp2_00250_0010_005_0.1_0_Ancient",10,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA",250,0,0,250,1,62.72,48.2,36.04,97.27,"Non-treelike",0.0890368899627431,0.0001309,"no_TIGER_run",0.995660514057351,0.959478516228713,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_0.1_0_Ancient/exp2_00250_0010_005_0.1_0_Ancient_output_alignment.fa"
6,"exp2_00250_0010_006_0.1_0_Ancient",10,250,0.1,0,"Ancient",6,"JC",NA,250000,"DNA",250,0,0,250,1,67.96,70.94,42.46,95.29,"Treelike",0.0408806099511008,0.0001197,"no_TIGER_run",0.99686479971409,0.969771102410729,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_0.1_0_Ancient/exp2_00250_0010_006_0.1_0_Ancient_output_alignment.fa"
7,"exp2_00250_0010_007_0.1_0_Ancient",10,250,0.1,0,"Ancient",7,"JC",NA,250000,"DNA",250,0,0,250,1,64.2,68.07,36.72,87.01,"Non-treelike",0.0484478701076361,0.0001345,"no_TIGER_run",0.993679407402429,0.956765113849857,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_0.1_0_Ancient/exp2_00250_0010_007_0.1_0_Ancient_output_alignment.fa"
8,"exp2_00250_0010_008_0.1_0_Ancient",10,250,0.1,0,"Ancient",8,"JC",NA,250000,"DNA",250,0,0,250,1,56.14,51.46,36.78,99.13,"Non-treelike",0.134210714762804,0.0002775,"no_TIGER_run",0.995156660054044,0.968841313427977,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_0.1_0_Ancient/exp2_00250_0010_008_0.1_0_Ancient_output_alignment.fa"
9,"exp2_00250_0010_009_0.1_0_Ancient",10,250,0.1,0,"Ancient",9,"JC",NA,250000,"DNA",250,0,0,250,1,55.51,54.66,40.33,72.28,"Non-treelike",0.104583242739947,0.0007398,"no_TIGER_run",0.990470319702561,0.86458853425967,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_0.1_0_Ancient/exp2_00250_0010_009_0.1_0_Ancient_output_alignment.fa"
10,"exp2_00250_0010_010_0.1_0_Ancient",10,250,0.1,0,"Ancient",10,"JC",NA,250000,"DNA",250,0,0,250,1,54.35,45.78,33.48,88.69,"Treelike",0.154908284751038,0.0002436,"no_TIGER_run",0.990701635677749,0.958445048784591,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_0.1_0_Ancient/exp2_00250_0010_010_0.1_0_Ancient_output_alignment.fa"
11,"exp2_00250_0020_001_0.1_0_Ancient",20,250,0.1,0,"Ancient",1,"JC",NA,250000,"DNA",499,1,0,500,0.998,51.88,49.44,32.45,89.14,"Non-treelike",0.11754933382986,0.00027335,"no_TIGER_run",0.981409937127318,0.909356093988744,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_0.1_0_Ancient/exp2_00250_0020_001_0.1_0_Ancient_output_alignment.fa"
12,"exp2_00250_0020_002_0.1_0_Ancient",20,250,0.1,0,"Ancient",2,"JC",NA,250000,"DNA",500,0,0,500,1,53.08,44.42,33.61,96.84,"Non-treelike",0.0964935052481419,0.00019095,"no_TIGER_run",0.986616356683922,0.927599909792354,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_0.1_0_Ancient/exp2_00250_0020_002_0.1_0_Ancient_output_alignment.fa"
13,"exp2_00250_0020_003_0.1_0_Ancient",20,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA",500,0,0,500,1,53.28,43.71,32.67,97.95,"Non-treelike",0.103922495507003,0.00029965,"no_TIGER_run",0.987734991637455,0.946648778496728,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_003_0.1_0_Ancient/exp2_00250_0020_003_0.1_0_Ancient_output_alignment.fa"
14,"exp2_00250_0020_004_0.1_0_Ancient",20,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA",500,0,0,500,1,55.36,44.43,30.77,99,"Treelike",0.0967784536775269,7.635e-05,"no_TIGER_run",0.994620080654219,0.963680521589749,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_004_0.1_0_Ancient/exp2_00250_0020_004_0.1_0_Ancient_output_alignment.fa"
15,"exp2_00250_0020_005_0.1_0_Ancient",20,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA",500,0,0,500,1,52.22,44.17,33.8,99.48,"Treelike",0.134335228544191,0.0005411,"no_TIGER_run",0.987439542278373,0.964188352041212,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_005_0.1_0_Ancient/exp2_00250_0020_005_0.1_0_Ancient_output_alignment.fa"
16,"exp2_00250_0020_006_0.1_0_Ancient",20,250,0.1,0,"Ancient",6,"JC",NA,250000,"DNA",499,1,0,500,0.998,49.58,46.55,33.88,80.06,"Non-treelike",0.0960731713944852,0.0004487,"no_TIGER_run",0.974166964147315,0.864897002405818,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_006_0.1_0_Ancient/exp2_00250_0020_006_0.1_0_Ancient_output_alignment.fa"
17,"exp2_00250_0020_007_0.1_0_Ancient",20,250,0.1,0,"Ancient",7,"JC",NA,250000,"DNA",500,0,0,500,1,51.28,42.05,32.5,98.37,"Non-treelike",0.115502543384978,0.0002476,"no_TIGER_run",0.985235968701362,0.946303784895099,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_007_0.1_0_Ancient/exp2_00250_0020_007_0.1_0_Ancient_output_alignment.fa"
18,"exp2_00250_0020_008_0.1_0_Ancient",20,250,0.1,0,"Ancient",8,"JC",NA,250000,"DNA",499,1,0,500,0.998,46.61,40.86,32.93,96.83,"Non-treelike",0.117385603663697,0.00050915,"no_TIGER_run",0.972328900754252,0.923039139550893,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_008_0.1_0_Ancient/exp2_00250_0020_008_0.1_0_Ancient_output_alignment.fa"
19,"exp2_00250_0020_009_0.1_0_Ancient",20,250,0.1,0,"Ancient",9,"JC",NA,250000,"DNA",500,0,0,500,1,51.38,46.14,39.23,98.26,"Non-treelike",0.0798208596849785,0.00021465,"no_TIGER_run",0.988021336435275,0.925851498712836,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_009_0.1_0_Ancient/exp2_00250_0020_009_0.1_0_Ancient_output_alignment.fa"
