"row_id","uid","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
1,"exp2_00250_0010_001_0.1_0_Ancient",10,250,0.1,0,"Ancient",1,"JC",NA,250000,"DNA","249","1","0","250","0.996",35.73,34.69,34.1,38.47,"Non-treelike",0.499940226535621,0.0014363,"no_TIGER_run",0.980763276226613,0.565133801119351,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_001_0.1_0_Ancient/exp2_00250_0010_001_0.1_0_Ancient_output_alignment.fa"
2,"exp2_00250_0010_002_0.1_0_Ancient",10,250,0.1,0,"Ancient",2,"JC",NA,250000,"DNA","250","0","0","250","1",37.22,35.41,34.23,49.64,"Treelike",0.475749339871357,0.001656,"no_TIGER_run",0.982801432694314,0.671920721761182,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_002_0.1_0_Ancient/exp2_00250_0010_002_0.1_0_Ancient_output_alignment.fa"
3,"exp2_00250_0010_003_0.1_0_Ancient",10,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA","250","0","0","250","1",36.53,36.61,33.26,41.93,"Non-treelike",0.320437318060187,0.0009495,"no_TIGER_run",0.985673442292753,0.692269258187599,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_003_0.1_0_Ancient/exp2_00250_0010_003_0.1_0_Ancient_output_alignment.fa"
4,"exp2_00250_0010_004_0.1_0_Ancient",10,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA","250","0","0","250","1",35.58,35.76,34.09,37.09,"Non-treelike",0.44206420365585,0.0014631,"no_TIGER_run",0.97882993010612,0.444509631555038,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_004_0.1_0_Ancient/exp2_00250_0010_004_0.1_0_Ancient_output_alignment.fa"
5,"exp2_00250_0010_005_0.1_0_Ancient",10,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA","250","0","0","250","1",38.35,38.87,35.16,42.05,"Non-treelike",0.298550863527139,0.0008833,"no_TIGER_run",0.985677784780327,0.706715696135086,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_005_0.1_0_Ancient/exp2_00250_0010_005_0.1_0_Ancient_output_alignment.fa"
6,"exp2_00250_0010_006_0.1_0_Ancient",10,250,0.1,0,"Ancient",6,"JC",NA,250000,"DNA","250","0","0","250","1",37.88,35.19,33.12,56.12,"Non-treelike",0.476167602649901,0.0018159,"no_TIGER_run",0.977753601775005,0.737720644412945,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_006_0.1_0_Ancient/exp2_00250_0010_006_0.1_0_Ancient_output_alignment.fa"
7,"exp2_00250_0010_007_0.1_0_Ancient",10,250,0.1,0,"Ancient",7,"JC",NA,250000,"DNA","250","0","0","250","1",37.51,36.39,33.56,50.7,"Non-treelike",0.423826861406166,0.0011631,"no_TIGER_run",0.981737870491684,0.650048808665646,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_007_0.1_0_Ancient/exp2_00250_0010_007_0.1_0_Ancient_output_alignment.fa"
8,"exp2_00250_0010_008_0.1_0_Ancient",10,250,0.1,0,"Ancient",8,"JC",NA,250000,"DNA","250","0","0","250","1",37.24,34.62,33.45,52,"Non-treelike",0.402549592092677,0.0008659,"no_TIGER_run",0.981329522274343,0.762637966655859,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_008_0.1_0_Ancient/exp2_00250_0010_008_0.1_0_Ancient_output_alignment.fa"
9,"exp2_00250_0010_009_0.1_0_Ancient",10,250,0.1,0,"Ancient",9,"JC",NA,250000,"DNA","250","0","0","250","1",38.66,37.69,35.26,47.31,"Non-treelike",0.279889516825738,0.0011956,"no_TIGER_run",0.983476375370507,0.678594680356004,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_009_0.1_0_Ancient/exp2_00250_0010_009_0.1_0_Ancient_output_alignment.fa"
10,"exp2_00250_0010_010_0.1_0_Ancient",10,250,0.1,0,"Ancient",10,"JC",NA,250000,"DNA","250","0","0","250","1",35.24,34.83,32.72,37.86,"Treelike",0.47749847932548,0.0015657,"no_TIGER_run",0.979224412645922,0.586192937469093,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0010_010_0.1_0_Ancient/exp2_00250_0010_010_0.1_0_Ancient_output_alignment.fa"
11,"exp2_00250_0020_001_0.1_0_Ancient",20,250,0.1,0,"Ancient",1,"JC",NA,250000,"DNA","500","0","0","500","1",36.06,35.32,33,48.19,"Non-treelike",0.40360713320342,0.00134345,"no_TIGER_run",0.955606728706721,0.705754475955896,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_001_0.1_0_Ancient/exp2_00250_0020_001_0.1_0_Ancient_output_alignment.fa"
12,"exp2_00250_0020_002_0.1_0_Ancient",20,250,0.1,0,"Ancient",2,"JC",NA,250000,"DNA","499","1","0","500","0.998",36.06,35.74,32.56,42.28,"Non-treelike",0.421773170947807,0.0013601,"no_TIGER_run",0.950857753605436,0.678911003951643,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_002_0.1_0_Ancient/exp2_00250_0020_002_0.1_0_Ancient_output_alignment.fa"
13,"exp2_00250_0020_003_0.1_0_Ancient",20,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA","500","0","0","500","1",36.48,35.61,33.43,46.9,"Non-treelike",0.316372220392448,0.00110285,"no_TIGER_run",0.953538166724157,0.665471108274568,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_003_0.1_0_Ancient/exp2_00250_0020_003_0.1_0_Ancient_output_alignment.fa"
14,"exp2_00250_0020_004_0.1_0_Ancient",20,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA","500","0","0","500","1",36.74,36.01,33.43,44.02,"Non-treelike",0.358155852434242,0.0011628,"no_TIGER_run",0.957669903868042,0.61313298611641,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_004_0.1_0_Ancient/exp2_00250_0020_004_0.1_0_Ancient_output_alignment.fa"
15,"exp2_00250_0020_005_0.1_0_Ancient",20,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA","499","1","0","500","0.998",36.16,34.92,33.01,54.25,"Treelike",0.328852119596004,0.0011792,"no_TIGER_run",0.95301010217736,0.673034594964493,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_005_0.1_0_Ancient/exp2_00250_0020_005_0.1_0_Ancient_output_alignment.fa"
16,"exp2_00250_0020_006_0.1_0_Ancient",20,250,0.1,0,"Ancient",6,"JC",NA,250000,"DNA","499","1","0","500","0.998",36.66,35.81,33.27,47.27,"Non-treelike",0.309097595233098,0.0010355,"no_TIGER_run",0.957637592185081,0.69644631398616,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_006_0.1_0_Ancient/exp2_00250_0020_006_0.1_0_Ancient_output_alignment.fa"
17,"exp2_00250_0020_007_0.1_0_Ancient",20,250,0.1,0,"Ancient",7,"JC",NA,250000,"DNA","500","0","0","500","1",36.05,35.12,32.83,44.91,"Treelike",0.430195356109024,0.00138235,"no_TIGER_run",0.955857793410611,0.677053559373791,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_007_0.1_0_Ancient/exp2_00250_0020_007_0.1_0_Ancient_output_alignment.fa"
18,"exp2_00250_0020_008_0.1_0_Ancient",20,250,0.1,0,"Ancient",8,"JC",NA,250000,"DNA","499","1","0","500","0.998",35.3,35.43,32.81,38.54,"Non-treelike",0.465645271045828,0.00138325,"no_TIGER_run",0.953285064780008,0.484729681107396,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_008_0.1_0_Ancient/exp2_00250_0020_008_0.1_0_Ancient_output_alignment.fa"
19,"exp2_00250_0020_009_0.1_0_Ancient",20,250,0.1,0,"Ancient",9,"JC",NA,250000,"DNA","500","0","0","500","1",36.11,35.75,32.98,46.63,"Non-treelike",0.32397498955799,0.00127255,"no_TIGER_run",0.95201090209337,0.658382666727948,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_009_0.1_0_Ancient/exp2_00250_0020_009_0.1_0_Ancient_output_alignment.fa"
20,"exp2_00250_0020_010_0.1_0_Ancient",20,250,0.1,0,"Ancient",10,"JC",NA,250000,"DNA","499","1","0","500","0.998",35.73,35.39,32.83,43.65,"Non-treelike",0.330264671452322,0.00106145,"no_TIGER_run",0.958215387706644,0.567612959512711,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0020_010_0.1_0_Ancient/exp2_00250_0020_010_0.1_0_Ancient_output_alignment.fa"
21,"exp2_00250_0050_001_0.1_0_Ancient",50,250,0.1,0,"Ancient",1,"JC",NA,250000,"DNA","1244","6","0","1250","0.9952",35.69,35.02,32.19,48.44,"Non-treelike",0.329433371811022,0.0011623,"no_TIGER_run",0.904080717080365,0.591982685961906,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_001_0.1_0_Ancient/exp2_00250_0050_001_0.1_0_Ancient_output_alignment.fa"
22,"exp2_00250_0050_002_0.1_0_Ancient",50,250,0.1,0,"Ancient",2,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.52,35.21,32.41,44.29,"Non-treelike",0.325117417210598,0.00121446,"no_TIGER_run",0.902977834134408,0.576138022634457,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_002_0.1_0_Ancient/exp2_00250_0050_002_0.1_0_Ancient_output_alignment.fa"
23,"exp2_00250_0050_003_0.1_0_Ancient",50,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA","1249","1","0","1250","0.9992",35.52,34.99,32.56,45.19,"Treelike",0.416194848113363,0.00128422,"no_TIGER_run",0.90247701818232,0.558766935733975,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_003_0.1_0_Ancient/exp2_00250_0050_003_0.1_0_Ancient_output_alignment.fa"
24,"exp2_00250_0050_004_0.1_0_Ancient",50,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.55,35.07,33.18,45.19,"Non-treelike",0.33446616910646,0.00116776,"no_TIGER_run",0.911730248270677,0.597910356051714,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_004_0.1_0_Ancient/exp2_00250_0050_004_0.1_0_Ancient_output_alignment.fa"
25,"exp2_00250_0050_005_0.1_0_Ancient",50,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.55,35.12,32.74,42.01,"Non-treelike",0.390652762789215,0.00132962,"no_TIGER_run",0.918173587052576,0.592870913861621,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_005_0.1_0_Ancient/exp2_00250_0050_005_0.1_0_Ancient_output_alignment.fa"
