"","num_reps","num_taxa","num_trees","tree_age","recombination_value","recombination_type","speciation_rate","tree_depth_subspersite","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","partition_file","output_alignment_file"
"1",1,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_001_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_001_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_001_5_0_Ancient_0.1_output_alignment"
"2",2,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_002_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_002_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_002_5_0_Ancient_0.1_output_alignment"
"3",3,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_003_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_003_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_003_5_0_Ancient_0.1_output_alignment"
"4",4,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_004_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_004_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_004_5_0_Ancient_0.1_output_alignment"
"5",5,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_005_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_005_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_005_5_0_Ancient_0.1_output_alignment"
"6",6,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_006_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_006_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_006_5_0_Ancient_0.1_output_alignment"
"7",7,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_007_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_007_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_007_5_0_Ancient_0.1_output_alignment"
"8",8,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_008_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_008_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_008_5_0_Ancient_0.1_output_alignment"
"9",9,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_009_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_009_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_009_5_0_Ancient_0.1_output_alignment"
"10",10,10,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0010_010_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0010_010_5_0_Ancient_0.1_partitions.nex","exp3_00200_0010_010_5_0_Ancient_0.1_output_alignment"
"11",1,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_001_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_001_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_001_5_0_Ancient_0.1_output_alignment"
"12",2,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_002_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_002_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_002_5_0_Ancient_0.1_output_alignment"
"13",3,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_003_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_003_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_003_5_0_Ancient_0.1_output_alignment"
"14",4,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_004_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_004_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_004_5_0_Ancient_0.1_output_alignment"
"15",5,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_005_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_005_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_005_5_0_Ancient_0.1_output_alignment"
"16",6,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_006_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_006_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_006_5_0_Ancient_0.1_output_alignment"
"17",7,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_007_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_007_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_007_5_0_Ancient_0.1_output_alignment"
"18",8,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_008_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_008_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_008_5_0_Ancient_0.1_output_alignment"
"19",9,20,200,5,0,"Ancient",0.1,0.005,"exp3_00200_0020_009_5_0_Ancient_0.1","JC",200,40000,"DNA","exp3_00200_0020_009_5_0_Ancient_0.1_partitions.nex","exp3_00200_0020_009_5_0_Ancient_0.1_output_alignment"
