"row_id","uid","num_taxa","num_trees","tree_depth","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCFL_mean","sCFL_median","sCFL_min","sCFL_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
2501,"exp1_00001_0005_001_0.01",5,1,0.01,1,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.0452764821812145,8.54e-05,0.869869235294118,0.999983692872665,0.980952380952381,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_001_0.01/exp1_00001_0005_001_0.01_output_alignment.fa"
2502,"exp1_00001_0005_002_0.01",5,1,0.01,2,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00201811977624361,3.74e-05,0.771539060344828,0.999994310972216,0.995689655172414,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_002_0.01/exp1_00001_0005_002_0.01_output_alignment.fa"
2503,"exp1_00001_0005_003_0.01",5,1,0.01,3,"JC",NA,10000,"DNA",125,0,0,125,1,68.6,68.6,44.5,92.7,"Treelike",0.346787176365592,0.0005634,0.699457623318386,0.999932803832678,0.925762515618978,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_003_0.01/exp1_00001_0005_003_0.01_output_alignment.fa"
2504,"exp1_00001_0005_004_0.01",5,1,0.01,4,"JC",NA,10000,"DNA",125,0,0,125,1,98.3,98.3,96.6,100,"Treelike",0.0147022276691448,0.0003466,0.730351946902655,0.999943513669052,0.982378854625551,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_004_0.01/exp1_00001_0005_004_0.01_output_alignment.fa"
2505,"exp1_00001_0005_005_0.01",5,1,0.01,5,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00240983919681389,0,0.773029139037433,0.999983773350745,1,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_005_0.01/exp1_00001_0005_005_0.01_output_alignment.fa"
2506,"exp1_00001_0005_006_0.01",5,1,0.01,6,"JC",NA,10000,"DNA",125,0,0,125,1,98.3,98.3,98.1,98.5,"Treelike",0.0132881435577649,0.0001458,0.723771018987342,0.999968606788284,0.98339943586135,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_006_0.01/exp1_00001_0005_006_0.01_output_alignment.fa"
2507,"exp1_00001_0005_007_0.01",5,1,0.01,7,"JC",NA,10000,"DNA",70,35,20,125,0.56,35.9,35.9,35,36.8,"Treelike",0.585235452020562,2.08e-05,0.40380361299435,0.826742145343813,0.919621223859936,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_007_0.01/exp1_00001_0005_007_0.01_output_alignment.fa"
2508,"exp1_00001_0005_008_0.01",5,1,0.01,8,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.00057431950817902,0,0.779203298850575,0.999989687617169,1,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_008_0.01/exp1_00001_0005_008_0.01_output_alignment.fa"
2509,"exp1_00001_0005_009_0.01",5,1,0.01,9,"JC",NA,10000,"DNA",125,0,0,125,1,98.9,98.9,98.4,99.4,"Treelike",0.0233368771640772,0.000601,0.732012333333333,0.999880265523833,0.977611940298508,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_009_0.01/exp1_00001_0005_009_0.01_output_alignment.fa"
2510,"exp1_00001_0005_010_0.01",5,1,0.01,10,"JC",NA,10000,"DNA",125,0,0,125,1,100,100,100,100,"Treelike",0.0165971611995833,3.84e-05,0.864681159090909,0.999976597762912,0.995360376220726,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0005_010_0.01/exp1_00001_0005_010_0.01_output_alignment.fa"
2511,"exp1_00001_0010_001_0.01",10,1,0.01,1,"JC",NA,10000,"DNA",238,1,11,250,0.952,92.83,100,49.8,100,"Treelike",0.0387101285869956,4.95e-05,0.618972331983806,0.999967200705647,0.992415195012793,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0010_001_0.01/exp1_00001_0010_001_0.01_output_alignment.fa"
2512,"exp1_00001_0010_002_0.01",10,1,0.01,2,"JC",NA,10000,"DNA",250,0,0,250,1,97.71,97.6,97,98.5,"Treelike",0.0189353554509539,0.0001082,0.561086308797128,0.999968656665409,0.981859760968279,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0010_002_0.01/exp1_00001_0010_002_0.01_output_alignment.fa"
2513,"exp1_00001_0010_003_0.01",10,1,0.01,3,"JC",NA,10000,"DNA",250,0,0,250,1,84.46,88.3,60.2,97.5,"Treelike",0.0250254484945657,0.0003225,0.512134357227255,0.999923436022244,0.970205684392441,"/data/caitlin/treelikeness_metrics/exp_1/exp1_00001_0010_003_0.01/exp1_00001_0010_003_0.01_output_alignment.fa"
