"num_reps","num_taxa","num_trees","tree_depth","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","uid","st_rt_max_branching_times_min","st_rt_max_branching_times_1st_qu","st_rt_max_branching_times_median","st_rt_max_branching_times_mean","st_rt_max_branching_times_3rd_qu","st_rt_max_branching_times_max","st_rt_tree_height_min","st_rt_tree_height_1st_qu","st_rt_tree_height_median","st_rt_tree_height_mean","st_rt_tree_height_3rd_qu","st_rt_tree_height_max","st_rt_crown_age_min","st_rt_crown_age_1st_qu","st_rt_crown_age_median","st_rt_crown_age_mean","st_rt_crown_age_3rd_qu","st_rt_crown_age_max","st_ext_max_branching_times_min","st_ext_max_branching_times_1st_qu","st_ext_max_branching_times_median","st_ext_max_branching_times_mean","st_ext_max_branching_times_3rd_qu","st_ext_max_branching_times_max","st_ext_tree_height_min","st_ext_tree_height_1st_qu","st_ext_tree_height_median","st_ext_tree_height_mean","st_ext_tree_height_3rd_qu","st_ext_tree_height_max","st_ext_crown_age_min","st_ext_crown_age_1st_qu","st_ext_crown_age_median","st_ext_crown_age_mean","st_ext_crown_age_3rd_qu","st_ext_crown_age_max","st_coal_max_branching_times_min","st_coal_max_branching_times_1st_qu","st_coal_max_branching_times_median","st_coal_max_branching_times_mean","st_coal_max_branching_times_3rd_qu","st_coal_max_branching_times_max","st_coal_tree_height_min","st_coal_tree_height_1st_qu","st_coal_tree_height_median","st_coal_tree_height_mean","st_coal_tree_height_3rd_qu","st_coal_tree_height_max","st_coal_crown_age_min","st_coal_crown_age_1st_qu","st_coal_crown_age_median","st_coal_crown_age_mean","st_coal_crown_age_3rd_qu","st_coal_crown_age_max"
1,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_001_0.01",0.00685726755924935,0.00685726755924935,0.00685726755924935,0.00685726755924935,0.00685726755924935,0.00685726755924935,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.0147703418126187,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_002_0.01",0.0210336804452162,0.0210336804452162,0.0210336804452162,0.0210336804452162,0.0210336804452162,0.0210336804452162,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.0234740572902407,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_003_0.01",0.0142583423712591,0.0142583423712591,0.0142583423712591,0.0142583423712591,0.0142583423712591,0.0142583423712591,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.0184935317002609,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_004_0.01",0.0143222881179984,0.0143222881179984,0.0143222881179984,0.0143222881179984,0.0143222881179984,0.0143222881179984,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.0151204913303739,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_005_0.01",0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.0264588131844439,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_006_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.0404891014495971,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_007_0.01",0.06957842736968,0.06957842736968,0.06957842736968,0.06957842736968,0.06957842736968,0.06957842736968,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.0707323683782626,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_008_0.01",0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.023523592609613,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_009_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.0118988673865831,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_010_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.0139824119181329,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
11,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_011_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.0140414296658805,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
12,5,1,0.01,"JC",NA,10000,"DNA","ts_00001_0005_012_0.01",0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0177817025250743,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.0237180268908312,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
