"row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","identical_sequences_present","number_unique_taxa","NetworkTreelikenessTest","network_num_splits","network_num_trivial_splits","network_num_nontrivial_splits","confidence_network_num_splits","confidence_network_num_trivial_splits","confidence_network_num_nontrivial_splits","tree_num_splits","tree_num_trivial_splits","tree_num_nontrivial_splits"
1,1,10,1,0.01,"expA1_00001_0010_001_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.01_10kbp/expA1_00001_0010_001_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.01_10kbp/expA1_00001_0010_001_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.01_10kbp/expA1_00001_0010_001_0.01_10kbp_output_alignment.fa",FALSE,10,"Treelike",87,10,77,13,10,3,17,10,7
1001,1,10,1,0.1,"expA1_00001_0010_001_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.1_10kbp/expA1_00001_0010_001_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.1_10kbp/expA1_00001_0010_001_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_0.1_10kbp/expA1_00001_0010_001_0.1_10kbp_output_alignment.fa",FALSE,10,"Non-treelike",78,10,68,17,9,8,17,10,7
2001,1,10,1,1,"expA1_00001_0010_001_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_1_10kbp/expA1_00001_0010_001_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_1_10kbp/expA1_00001_0010_001_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_001_1_10kbp/expA1_00001_0010_001_1_10kbp_output_alignment.fa",FALSE,10,"Non-treelike",81,10,71,16,10,6,17,10,7
2,2,10,1,0.01,"expA1_00001_0010_002_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.01_10kbp/expA1_00001_0010_002_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.01_10kbp/expA1_00001_0010_002_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.01_10kbp/expA1_00001_0010_002_0.01_10kbp_output_alignment.fa",FALSE,10,"Treelike",47,10,37,9,6,3,17,10,7
1002,2,10,1,0.1,"expA1_00001_0010_002_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.1_10kbp/expA1_00001_0010_002_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.1_10kbp/expA1_00001_0010_002_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_0.1_10kbp/expA1_00001_0010_002_0.1_10kbp_output_alignment.fa",FALSE,10,"Non-treelike",65,10,55,17,10,7,17,10,7
2002,2,10,1,1,"expA1_00001_0010_002_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_1_10kbp/expA1_00001_0010_002_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_1_10kbp/expA1_00001_0010_002_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_002_1_10kbp/expA1_00001_0010_002_1_10kbp_output_alignment.fa",FALSE,10,"Treelike",83,10,73,13,10,3,17,10,7
3,3,10,1,0.01,"expA1_00001_0010_003_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.01_10kbp/expA1_00001_0010_003_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.01_10kbp/expA1_00001_0010_003_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.01_10kbp/expA1_00001_0010_003_0.01_10kbp_output_alignment.fa",FALSE,10,"Treelike",71,10,61,16,9,7,17,10,7
1003,3,10,1,0.1,"expA1_00001_0010_003_0.1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.1_10kbp/expA1_00001_0010_003_0.1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.1_10kbp/expA1_00001_0010_003_0.1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_0.1_10kbp/expA1_00001_0010_003_0.1_10kbp_output_alignment.fa",FALSE,10,"Treelike",96,10,86,17,10,7,17,10,7
2003,3,10,1,1,"expA1_00001_0010_003_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_1_10kbp/expA1_00001_0010_003_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_1_10kbp/expA1_00001_0010_003_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_003_1_10kbp/expA1_00001_0010_003_1_10kbp_output_alignment.fa",FALSE,10,"Non-treelike",131,10,121,13,10,3,17,10,7
4,4,10,1,0.01,"expA1_00001_0010_004_0.01_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_004_0.01_10kbp/expA1_00001_0010_004_0.01_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_004_0.01_10kbp/expA1_00001_0010_004_0.01_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A1/expA1_00001_0010_004_0.01_10kbp/expA1_00001_0010_004_0.01_10kbp_output_alignment.fa",FALSE,10,"Treelike",117,10,107,17,10,7,17,10,7
