"","num_reps","num_taxa","num_trees","tree_depth","total_alignment_length","uid","alisim_gene_models","alisim_gene_tree_length","sequence_type","tree_file","partition_file","output_alignment_file"
"1",1,10,1,0.01,10000,"expA1_00001_0010_001_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_001_0.01_10kbp_random_trees.phy","expA1_00001_0010_001_0.01_10kbp_partitions.nex","expA1_00001_0010_001_0.01_10kbp_output_alignment"
"2",2,10,1,0.01,10000,"expA1_00001_0010_002_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_002_0.01_10kbp_random_trees.phy","expA1_00001_0010_002_0.01_10kbp_partitions.nex","expA1_00001_0010_002_0.01_10kbp_output_alignment"
"3",3,10,1,0.01,10000,"expA1_00001_0010_003_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_003_0.01_10kbp_random_trees.phy","expA1_00001_0010_003_0.01_10kbp_partitions.nex","expA1_00001_0010_003_0.01_10kbp_output_alignment"
"4",4,10,1,0.01,10000,"expA1_00001_0010_004_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_004_0.01_10kbp_random_trees.phy","expA1_00001_0010_004_0.01_10kbp_partitions.nex","expA1_00001_0010_004_0.01_10kbp_output_alignment"
"5",5,10,1,0.01,10000,"expA1_00001_0010_005_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_005_0.01_10kbp_random_trees.phy","expA1_00001_0010_005_0.01_10kbp_partitions.nex","expA1_00001_0010_005_0.01_10kbp_output_alignment"
"6",6,10,1,0.01,10000,"expA1_00001_0010_006_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_006_0.01_10kbp_random_trees.phy","expA1_00001_0010_006_0.01_10kbp_partitions.nex","expA1_00001_0010_006_0.01_10kbp_output_alignment"
"7",7,10,1,0.01,10000,"expA1_00001_0010_007_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_007_0.01_10kbp_random_trees.phy","expA1_00001_0010_007_0.01_10kbp_partitions.nex","expA1_00001_0010_007_0.01_10kbp_output_alignment"
"8",8,10,1,0.01,10000,"expA1_00001_0010_008_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_008_0.01_10kbp_random_trees.phy","expA1_00001_0010_008_0.01_10kbp_partitions.nex","expA1_00001_0010_008_0.01_10kbp_output_alignment"
"9",9,10,1,0.01,10000,"expA1_00001_0010_009_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_009_0.01_10kbp_random_trees.phy","expA1_00001_0010_009_0.01_10kbp_partitions.nex","expA1_00001_0010_009_0.01_10kbp_output_alignment"
"10",10,10,1,0.01,10000,"expA1_00001_0010_010_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_010_0.01_10kbp_random_trees.phy","expA1_00001_0010_010_0.01_10kbp_partitions.nex","expA1_00001_0010_010_0.01_10kbp_output_alignment"
"11",11,10,1,0.01,10000,"expA1_00001_0010_011_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_011_0.01_10kbp_random_trees.phy","expA1_00001_0010_011_0.01_10kbp_partitions.nex","expA1_00001_0010_011_0.01_10kbp_output_alignment"
"12",12,10,1,0.01,10000,"expA1_00001_0010_012_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_012_0.01_10kbp_random_trees.phy","expA1_00001_0010_012_0.01_10kbp_partitions.nex","expA1_00001_0010_012_0.01_10kbp_output_alignment"
"13",13,10,1,0.01,10000,"expA1_00001_0010_013_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_013_0.01_10kbp_random_trees.phy","expA1_00001_0010_013_0.01_10kbp_partitions.nex","expA1_00001_0010_013_0.01_10kbp_output_alignment"
"14",14,10,1,0.01,10000,"expA1_00001_0010_014_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_014_0.01_10kbp_random_trees.phy","expA1_00001_0010_014_0.01_10kbp_partitions.nex","expA1_00001_0010_014_0.01_10kbp_output_alignment"
"15",15,10,1,0.01,10000,"expA1_00001_0010_015_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_015_0.01_10kbp_random_trees.phy","expA1_00001_0010_015_0.01_10kbp_partitions.nex","expA1_00001_0010_015_0.01_10kbp_output_alignment"
"16",16,10,1,0.01,10000,"expA1_00001_0010_016_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_016_0.01_10kbp_random_trees.phy","expA1_00001_0010_016_0.01_10kbp_partitions.nex","expA1_00001_0010_016_0.01_10kbp_output_alignment"
"17",17,10,1,0.01,10000,"expA1_00001_0010_017_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_017_0.01_10kbp_random_trees.phy","expA1_00001_0010_017_0.01_10kbp_partitions.nex","expA1_00001_0010_017_0.01_10kbp_output_alignment"
"18",18,10,1,0.01,10000,"expA1_00001_0010_018_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_018_0.01_10kbp_random_trees.phy","expA1_00001_0010_018_0.01_10kbp_partitions.nex","expA1_00001_0010_018_0.01_10kbp_output_alignment"
"19",19,10,1,0.01,10000,"expA1_00001_0010_019_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_019_0.01_10kbp_random_trees.phy","expA1_00001_0010_019_0.01_10kbp_partitions.nex","expA1_00001_0010_019_0.01_10kbp_output_alignment"
"20",20,10,1,0.01,10000,"expA1_00001_0010_020_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_020_0.01_10kbp_random_trees.phy","expA1_00001_0010_020_0.01_10kbp_partitions.nex","expA1_00001_0010_020_0.01_10kbp_output_alignment"
"21",21,10,1,0.01,10000,"expA1_00001_0010_021_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_021_0.01_10kbp_random_trees.phy","expA1_00001_0010_021_0.01_10kbp_partitions.nex","expA1_00001_0010_021_0.01_10kbp_output_alignment"
"22",22,10,1,0.01,10000,"expA1_00001_0010_022_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_022_0.01_10kbp_random_trees.phy","expA1_00001_0010_022_0.01_10kbp_partitions.nex","expA1_00001_0010_022_0.01_10kbp_output_alignment"
"23",23,10,1,0.01,10000,"expA1_00001_0010_023_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_023_0.01_10kbp_random_trees.phy","expA1_00001_0010_023_0.01_10kbp_partitions.nex","expA1_00001_0010_023_0.01_10kbp_output_alignment"
"24",24,10,1,0.01,10000,"expA1_00001_0010_024_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_024_0.01_10kbp_random_trees.phy","expA1_00001_0010_024_0.01_10kbp_partitions.nex","expA1_00001_0010_024_0.01_10kbp_output_alignment"
"25",25,10,1,0.01,10000,"expA1_00001_0010_025_0.01_10kbp","JC",NA,"DNA","expA1_00001_0010_025_0.01_10kbp_random_trees.phy","expA1_00001_0010_025_0.01_10kbp_partitions.nex","expA1_00001_0010_025_0.01_10kbp_output_alignment"
