"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
1,1," (0.05,0.065)",0.05,0.065,"  1 2 4 5 6 7 8 9 10",FALSE
2,2," (0.018,0.026)",0.018,0.026,"  1 4 5 6 7 8 9 10",FALSE
3,4," (0.042,0.052)",0.042,0.052,"  1 8 9 10",FALSE
4,3," (0.002,0.004)",0.002,0.004,"  1 8 9",FALSE
5,2," (0,0)",0,0,"  1 9",TRUE
6,1," (0.007,0.012)",0.007,0.012,"  1",FALSE
7,1," (0.06,0.073)",0.06,0.073,"  1 3 4 5 6 7 8 9 10",FALSE
8,4," (-0.001,0.001)",-0.001,0.001,"  1 3 8 9",TRUE
9,1," (0.029,0.036)",0.029,0.036,"  1 2 3 5 6 7 8 9 10",FALSE
10,2," (-0.001,0.003)",-0.001,0.003,"  1 2 3 6 7 8 9 10",TRUE
11,3," (-0.001,0.003)",-0.001,0.003,"  1 2 3 7 8 9 10",TRUE
12,4," (0.043,0.058)",0.043,0.058,"  1 2 3 8 9 10",FALSE
13,4," (0,0)",0,0,"  1 2 3 9",TRUE
14,1," (0.033,0.046)",0.033,0.046,"  1 2 3 4 6 7 8 9 10",FALSE
15,2," (-0.001,0.002)",-0.001,0.002,"  1 2 3 4 7 8 9 10",TRUE
16,3," (0.019,0.027)",0.019,0.027,"  1 2 3 4 8 9 10",FALSE
17,4," (-0.001,0.002)",-0.001,0.002,"  1 2 3 4 8 9",TRUE
18,4," (-0.001,0.002)",-0.001,0.002,"  1 2 3 4",TRUE
19,1," (0.044,0.059)",0.044,0.059,"  1 2 3 4 5 7 8 9 10",FALSE
20,2," (-0.002,0.004)",-0.002,0.004,"  1 2 3 4 5 8 9 10",TRUE
21,3," (0,0.002)",0,0.002,"  1 2 3 4 5 8 9",TRUE
22,4," (0,0)",0,0,"  1 2 3 4 5 9",TRUE
23,5," (0,0.003)",0,0.003,"  1 2 3 4 5",TRUE
24,1," (0.066,0.079)",0.066,0.079,"  1 2 3 4 5 6 8 9 10",FALSE
25,1," (0.033,0.043)",0.033,0.043,"  1 2 3 4 5 6 7 8 9",FALSE
26,3," (0.053,0.066)",0.053,0.066,"  1 2 3 4 5 6 7",FALSE
27,1," (0.001,0.004)",0.001,0.004,"  1 2 3 4 5 6 7 9 10",FALSE
28,2," (0.005,0.009)",0.005,0.009,"  1 2 3 4 5 6 7 10",FALSE
29,1," (0.002,0.005)",0.002,0.005,"  1 2 3 4 5 6 7 8 10",FALSE
30,4," (-0.001,0.001)",-0.001,0.001,"  1 6 7 8 9 10",TRUE
31,5," (-0.001,0.001)",-0.001,0.001,"  1 7 8 9 10",TRUE
32,5," (-0.002,0.002)",-0.002,0.002,"  1 3 8 9 10",TRUE
33,5," (-0.001,0.001)",-0.001,0.001,"  1 2 3 8 9",TRUE
34,3," (-0.001,0.001)",-0.001,0.001,"  1 2 6 7 8 9 10",TRUE
35,4," (-0.002,0.002)",-0.002,0.002,"  1 2 7 8 9 10",TRUE
36,2," (0,0)",0,0,"  1 2 3 4 5 6 7 9",TRUE
37,4," (0,0)",0,0,"  1 3 7 8 9 10",TRUE
38,2," (-0.001,0.001)",-0.001,0.001,"  1 3",TRUE
39,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3",TRUE
40,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 6",TRUE
41,5," (-0.002,0.002)",-0.002,0.002,"  1 2 8 9 10",TRUE
42,2," (-0.001,0.001)",-0.001,0.001,"  1 2",TRUE
43,3," (0,0)",0,0,"  1 2 3 4 5 6 9",TRUE
44,4," (0,0)",0,0,"  1 2 3 7 8 9",TRUE
45,5," (-0.001,0.001)",-0.001,0.001,"  1 4 8 9 10",TRUE
46,2," (0,0)",0,0,"  1 3 4 5 6 8 9 10",TRUE
47,2," (0,0)",0,0,"  1 2 3 4 5 6 7 8",TRUE
48,4," (0,0)",0,0,"  1 2 3 8",TRUE
49,4," (0,0)",0,0,"  1 2 3 4 5 8",TRUE
50,2," (-0.001,0.001)",-0.001,0.001,"  1 2 5 6 7 8 9 10",TRUE
51,4," (0,0)",0,0,"  1 2 8 9",TRUE
52,3," (0,0)",0,0,"  1 3 6 7 8 9 10",TRUE
53,3," (0,0)",0,0,"  1 2 9",TRUE
54,3," (0,0)",0,0,"  1 3 8",TRUE
55,3," (0,0)",0,0,"  1 2 8",TRUE
56,5," (0,0)",0,0,"  1 2 3 4 8",TRUE
57,3," (0,0)",0,0,"  1 3 9",TRUE
58,2," (0,0)",0,0,"  1 8",TRUE
59,5," (0,0)",0,0,"  1 2 3 4 9",TRUE
60,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 7",TRUE
61,2," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 7 8 9",TRUE
62,3," (0,0)",0,0,"  1 2 3 6 8 9 10",TRUE
63,5," (-0.001,0.001)",-0.001,0.001,"  1 6 8 9 10",TRUE
64,2," (-0.001,0.001)",-0.001,0.001,"  1 3 5 6 7 8 9 10",TRUE
65,2," (0,0)",0,0,"  1 2 3 4 5 6 8 9",TRUE
