"split","size","interval","interval_start","interval_end","taxa","interval_includes_0"
1,1," (0.289,0.306)",0.289,0.306,"  1 3 4 5 6 7 8 9 10",FALSE
2,4," (0,0.025)",0,0.025,"  1 8 9 10",TRUE
3,3," (0.003,0.021)",0.003,0.021,"  1 9 10",FALSE
4,2," (-0.005,0.015)",-0.005,0.015,"  1 10",TRUE
5,1," (0.25,0.272)",0.25,0.272,"  1",FALSE
6,1," (0.343,0.365)",0.343,0.365,"  1 2 3 4 5 6 8 9 10",FALSE
7,2," (-0.003,0.01)",-0.003,0.01,"  1 2 3 5 6 8 9 10",TRUE
8,3," (-0.008,0.008)",-0.008,0.008,"  1 2 5 6 8 9 10",TRUE
9,5," (-0.003,0.012)",-0.003,0.012,"  1 2 8 9 10",TRUE
10,4," (-0.003,0.012)",-0.003,0.012,"  1 2 9 10",TRUE
11,3," (-0.009,0.013)",-0.009,0.013,"  1 2 10",TRUE
12,2," (0.042,0.066)",0.042,0.066,"  1 2",FALSE
13,1," (0.292,0.306)",0.292,0.306,"  1 2 3 5 6 7 8 9 10",FALSE
14,2," (0.055,0.071)",0.055,0.071,"  1 2 5 6 7 8 9 10",FALSE
15,3," (-0.007,0.009)",-0.007,0.009,"  1 2 5 7 8 9 10",TRUE
16,4," (0,0.015)",0,0.015,"  1 2 7 8 9 10",TRUE
17,4," (-0.003,0.009)",-0.003,0.009,"  1 2 7 10",TRUE
18,3," (0,0.019)",0,0.019,"  1 2 7",TRUE
19,1," (0.287,0.303)",0.287,0.303,"  1 2 4 5 6 7 8 9 10",FALSE
20,2," (-0.006,0.008)",-0.006,0.008,"  1 2 4 5 7 8 9 10",TRUE
21,3," (-0.004,0.006)",-0.004,0.006,"  1 2 4 7 8 9 10",TRUE
22,1," (0.347,0.365)",0.347,0.365,"  1 2 3 4 5 7 8 9 10",FALSE
23,2," (0,0.017)",0,0.017,"  1 2 3 4 7 8 9 10",TRUE
24,1," (0.349,0.363)",0.349,0.363,"  1 2 3 4 6 7 8 9 10",FALSE
25,2," (-0.005,0.005)",-0.005,0.005,"  1 2 3 4 6 7 9 10",TRUE
26,4," (-0.005,0.005)",-0.005,0.005,"  1 2 3 4 6 7",TRUE
27,1," (0.235,0.25)",0.235,0.25,"  1 2 3 4 5 6 7 9 10",FALSE
28,2," (0.096,0.116)",0.096,0.116,"  1 2 3 4 5 6 7 10",FALSE
29,3," (-0.002,0.018)",-0.002,0.018,"  1 2 3 4 5 6 7",TRUE
30,1," (0.214,0.23)",0.214,0.23,"  1 2 3 4 5 6 7 8 10",FALSE
31,2," (-0.003,0.012)",-0.003,0.012,"  1 2 3 4 5 6 7 8",TRUE
32,1," (0.311,0.329)",0.311,0.329,"  1 2 3 4 5 6 7 8 9",FALSE
33,3," (-0.003,0.003)",-0.003,0.003,"  1 2 3 4 6 7 10",TRUE
34,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 7 9 10",TRUE
35,4," (0,0)",0,0,"  1 2 3 4 7 10",TRUE
36,5," (-0.007,0.007)",-0.007,0.007,"  1 2 7 9 10",TRUE
37,2," (-0.002,0.002)",-0.002,0.002,"  1 3 4 6 7 8 9 10",TRUE
38,3," (-0.007,0.007)",-0.007,0.007,"  1 3 4 7 8 9 10",TRUE
39,4," (-0.004,0.004)",-0.004,0.004,"  1 4 7 8 9 10",TRUE
40,5," (-0.007,0.007)",-0.007,0.007,"  1 7 8 9 10",TRUE
41,4," (-0.002,0.002)",-0.002,0.002,"  1 2 5 6 9 10",TRUE
42,3," (-0.005,0.005)",-0.005,0.005,"  1 2 3 5 6 9 10",TRUE
43,3," (-0.003,0.003)",-0.003,0.003,"  1 2 3 5 6 7 10",TRUE
44,5," (-0.001,0.001)",-0.001,0.001,"  1 2 5 7 10",TRUE
45,2," (-0.005,0.005)",-0.005,0.005,"  1 2 3 4 6 8 9 10",TRUE
46,4," (-0.003,0.003)",-0.003,0.003,"  1 2 4 7",TRUE
47,2," (-0.003,0.003)",-0.003,0.003,"  1 2 4 6 7 8 9 10",TRUE
48,4," (-0.002,0.002)",-0.002,0.002,"  1 2 5 8 9 10",TRUE
49,4," (-0.001,0.001)",-0.001,0.001,"  1 2 3 4 5 7",TRUE
50,5," (-0.002,0.002)",-0.002,0.002,"  1 2 3 4 7",TRUE
51,4," (-0.001,0.001)",-0.001,0.001,"  1 3 7 8 9 10",TRUE
52,3," (-0.001,0.001)",-0.001,0.001,"  1 2 3 7 8 9 10",TRUE
53,2," (-0.002,0.002)",-0.002,0.002,"  1 2 3 5 7 8 9 10",TRUE
54,4," (0,0)",0,0,"  1 2 5 10",TRUE
55,4," (-0.005,0.005)",-0.005,0.005,"  1 2 5 6 7 10",TRUE
56,2," (-0.005,0.005)",-0.005,0.005,"  1 2 3 5 6 7 9 10",TRUE
