"row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","identical_sequences_present","number_unique_taxa","NetworkTreelikenessTest","network_num_splits","network_num_trivial_splits","network_num_nontrivial_splits","confidence_network_num_splits","confidence_network_num_trivial_splits","confidence_network_num_nontrivial_splits","tree_num_splits","tree_num_trivial_splits","tree_num_nontrivial_splits"
1,1,100,1,1,"expA2_00001_0100_001_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",3369,100,3269,202,100,102,197,100,97
1001,1,100,1,1,"expA2_00001_0100_001_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_20kbp/expA2_00001_0100_001_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_20kbp/expA2_00001_0100_001_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_20kbp/expA2_00001_0100_001_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",3263,100,3163,204,100,104,197,100,97
2001,1,100,1,1,"expA2_00001_0100_001_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_30kbp/expA2_00001_0100_001_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_30kbp/expA2_00001_0100_001_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_30kbp/expA2_00001_0100_001_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",1524,100,1424,236,100,136,197,100,97
2,2,100,1,1,"expA2_00001_0100_002_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",2430,100,2330,201,98,103,197,100,97
1002,2,100,1,1,"expA2_00001_0100_002_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_20kbp/expA2_00001_0100_002_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_20kbp/expA2_00001_0100_002_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_20kbp/expA2_00001_0100_002_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",4421,100,4321,203,100,103,197,100,97
2002,2,100,1,1,"expA2_00001_0100_002_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_30kbp/expA2_00001_0100_002_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_30kbp/expA2_00001_0100_002_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_30kbp/expA2_00001_0100_002_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",2129,100,2029,235,99,136,197,100,97
3,3,100,1,1,"expA2_00001_0100_003_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",4102,100,4002,198,100,98,197,100,97
1003,3,100,1,1,"expA2_00001_0100_003_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_20kbp/expA2_00001_0100_003_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_20kbp/expA2_00001_0100_003_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_20kbp/expA2_00001_0100_003_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",1967,100,1867,224,100,124,197,100,97
2003,3,100,1,1,"expA2_00001_0100_003_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_30kbp/expA2_00001_0100_003_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_30kbp/expA2_00001_0100_003_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_30kbp/expA2_00001_0100_003_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",4170,100,4070,194,100,94,197,100,97
3003,3,100,1,1,"expA2_00001_0100_003_1_40kbp","JC",NA,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_40kbp/expA2_00001_0100_003_1_40kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_40kbp/expA2_00001_0100_003_1_40kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_40kbp/expA2_00001_0100_003_1_40kbp_output_alignment.fa",FALSE,100,"Non-treelike",1511,100,1411,284,100,184,197,100,97
