"row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","identical_sequences_present","number_unique_taxa","NetworkTreelikenessTest","network_num_splits","network_num_trivial_splits","network_num_nontrivial_splits","confidence_network_num_splits","confidence_network_num_trivial_splits","confidence_network_num_nontrivial_splits","tree_num_splits","tree_num_trivial_splits","tree_num_nontrivial_splits","al_raw_pairwise_distance_min","al_raw_pairwise_distance_1st_qu","al_raw_pairwise_distance_median","al_raw_pairwise_distance_mean","al_raw_pairwise_distance_3rd_qu","al_raw_pairwise_distance_max","al_raw_pairwise_distance_sd","al_jc_pairwise_distance_min","al_jc_pairwise_distance_1st_qu","al_jc_pairwise_distance_median","al_jc_pairwise_distance_mean","al_jc_pairwise_distance_3rd_qu","al_jc_pairwise_distance_max","al_jc_pairwise_distance_sd","tree_1_mean_nearest_taxon_distance","tree_1_mean_pairwise_distance","tree_1_mean_branch_length","tree_1_var_branch_length","tree_1_mean_branch_length_external","tree_1_var_branch_length_external","tree_1_mean_branch_length_internal","tree_1_var_branch_length_internal","tree_1_average_vertex_depth","tree_1_max_width","tree_1_max_depth","tree_1_max_ladder","tree_1_max_branching_time","tree_1_crown_age","tree_1_tree_height","tree_1_treeness","tree_2_mean_nearest_taxon_distance","tree_2_mean_pairwise_distance","tree_2_mean_branch_length","tree_2_var_branch_length","tree_2_mean_branch_length_external","tree_2_var_branch_length_external","tree_2_mean_branch_length_internal","tree_2_var_branch_length_internal","tree_2_average_vertex_depth","tree_2_max_width","tree_2_max_depth","tree_2_max_ladder","tree_2_max_branching_time","tree_2_crown_age","tree_2_tree_height","tree_2_treeness","tree_3_mean_nearest_taxon_distance","tree_3_mean_pairwise_distance","tree_3_mean_branch_length","tree_3_var_branch_length","tree_3_mean_branch_length_external","tree_3_var_branch_length_external","tree_3_mean_branch_length_internal","tree_3_var_branch_length_internal","tree_3_average_vertex_depth","tree_3_max_width","tree_3_max_depth","tree_3_max_ladder","tree_3_max_branching_time","tree_3_crown_age","tree_3_tree_height","tree_3_treeness","tree_4_mean_nearest_taxon_distance","tree_4_mean_pairwise_distance","tree_4_mean_branch_length","tree_4_var_branch_length","tree_4_mean_branch_length_external","tree_4_var_branch_length_external","tree_4_mean_branch_length_internal","tree_4_var_branch_length_internal","tree_4_average_vertex_depth","tree_4_max_width","tree_4_max_depth","tree_4_max_ladder","tree_4_max_branching_time","tree_4_crown_age","tree_4_tree_height","tree_4_treeness","tree_5_mean_nearest_taxon_distance","tree_5_mean_pairwise_distance","tree_5_mean_branch_length","tree_5_var_branch_length","tree_5_mean_branch_length_external","tree_5_var_branch_length_external","tree_5_mean_branch_length_internal","tree_5_var_branch_length_internal","tree_5_average_vertex_depth","tree_5_max_width","tree_5_max_depth","tree_5_max_ladder","tree_5_max_branching_time","tree_5_crown_age","tree_5_tree_height","tree_5_treeness","tree_6_mean_nearest_taxon_distance","tree_6_mean_pairwise_distance","tree_6_mean_branch_length","tree_6_var_branch_length","tree_6_mean_branch_length_external","tree_6_var_branch_length_external","tree_6_mean_branch_length_internal","tree_6_var_branch_length_internal","tree_6_average_vertex_depth","tree_6_max_width","tree_6_max_depth","tree_6_max_ladder","tree_6_max_branching_time","tree_6_crown_age","tree_6_tree_height","tree_6_treeness","tree_7_mean_nearest_taxon_distance","tree_7_mean_pairwise_distance","tree_7_mean_branch_length","tree_7_var_branch_length","tree_7_mean_branch_length_external","tree_7_var_branch_length_external","tree_7_mean_branch_length_internal","tree_7_var_branch_length_internal","tree_7_average_vertex_depth","tree_7_max_width","tree_7_max_depth","tree_7_max_ladder","tree_7_max_branching_time","tree_7_crown_age","tree_7_tree_height","tree_7_treeness","tree_8_mean_nearest_taxon_distance","tree_8_mean_pairwise_distance","tree_8_mean_branch_length","tree_8_var_branch_length","tree_8_mean_branch_length_external","tree_8_var_branch_length_external","tree_8_mean_branch_length_internal","tree_8_var_branch_length_internal","tree_8_average_vertex_depth","tree_8_max_width","tree_8_max_depth","tree_8_max_ladder","tree_8_max_branching_time","tree_8_crown_age","tree_8_tree_height","tree_8_treeness","tree_9_mean_nearest_taxon_distance","tree_9_mean_pairwise_distance","tree_9_mean_branch_length","tree_9_var_branch_length","tree_9_mean_branch_length_external","tree_9_var_branch_length_external","tree_9_mean_branch_length_internal","tree_9_var_branch_length_internal","tree_9_average_vertex_depth","tree_9_max_width","tree_9_max_depth","tree_9_max_ladder","tree_9_max_branching_time","tree_9_crown_age","tree_9_tree_height","tree_9_treeness","tree_10_mean_nearest_taxon_distance","tree_10_mean_pairwise_distance","tree_10_mean_branch_length","tree_10_var_branch_length","tree_10_mean_branch_length_external","tree_10_var_branch_length_external","tree_10_mean_branch_length_internal","tree_10_var_branch_length_internal","tree_10_average_vertex_depth","tree_10_max_width","tree_10_max_depth","tree_10_max_ladder","tree_10_max_branching_time","tree_10_crown_age","tree_10_tree_height","tree_10_treeness","num_sites","number_constant_sites","number_invariant_sites","number_parsimony_informative_sites","number_distinct_site_patterns","percent_invariant_sites","percent_parsimony_informative_sites","iqtree_tree_mean_nearest_taxon_distance","iqtree_tree_mean_pairwise_distance","iqtree_tree_mean_branch_length","iqtree_tree_var_branch_length","iqtree_tree_mean_branch_length_external","iqtree_tree_var_branch_length_external","iqtree_tree_mean_branch_length_internal","iqtree_tree_var_branch_length_internal","iqtree_tree_average_vertex_depth","iqtree_tree_max_width","iqtree_tree_max_depth","iqtree_tree_max_ladder","iqtree_tree_max_branching_time","iqtree_tree_crown_age","iqtree_tree_tree_height","iqtree_tree_treeness"
1,1,100,1,1,"expA2_00001_0100_001_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",3369,100,3269,202,100,102,197,100,97,0.0555,0.737925,0.7456,0.732239797979798,0.7498,0.7642,0.0503243670956736,0.0576607832519682,2.83574605726631,3.52736294576122,Inf,4.11650332127944,Inf,NA,0.6159625707772,4.10303468446085,0.300960686702414,0.0351581167773214,0.27896204459508,0.0335623341491597,0.32340828068949,0.0361412602090681,7.17587939698493,38,16,5,1.1270460087,5.37163789415,5.37163789415,0.53186602856214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,0,0,10000,10000,0,100,0.616328084518,4.10430028742889,0.302965600025381,0.0364142033893801,0.278051065061,0.0334674049070536,0.328650687617526,0.038519210124826,9.38383838383838,30,17,5,3.280228359,6.2168692939,6.2168692939,0.534129707768892
1001,1,100,1,1,"expA2_00001_0100_001_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_20kbp/expA2_00001_0100_001_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_20kbp/expA2_00001_0100_001_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_20kbp/expA2_00001_0100_001_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",3263,100,3163,204,100,104,197,100,97,0.15175,0.73215,0.7432,0.727862696969697,0.74785,0.7616,0.0512774024332568,0.169548359806405,2.67632497577855,3.32974181063289,Inf,3.96380410484851,Inf,NA,0.64207830658042,3.66146325616386,0.276779616826591,0.0206156432461889,0.29606839928444,0.0190840686023556,0.257097185747153,0.0216163732150732,7.31658291457286,34,13,4,1.3693637518,3.91014777346,3.91014777346,0.459752505251191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,0,20000,20000,0,100,0.640568154887,3.62310824719303,0.277452503278173,0.0212641062004267,0.295432041877,0.0188421193380143,0.258916896475258,0.0232994005645935,9.03030303030303,26,17,4,2.9807598216,5.4704831223,5.4704831223,0.459491258074871
2001,1,100,1,1,"expA2_00001_0100_001_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_30kbp/expA2_00001_0100_001_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_30kbp/expA2_00001_0100_001_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_30kbp/expA2_00001_0100_001_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",1524,100,1424,236,100,136,197,100,97,0.141833333333333,0.723708333333333,0.737966666666667,0.719098471380471,0.744066666666667,0.753933333333333,0.0588470761204705,0.157218179491473,2.49782123308046,3.07981354055225,Inf,3.57674787010941,Inf,NA,0.55472692148077,3.03346394391149,0.24532773313655,0.0175558924230067,0.25440010547376,0.0176601841409423,0.23607021034348,0.0174590001446046,7.14572864321608,34,12,3,1.793156583554,3.27892700921,3.27892700921,0.476272412777283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,0,0,30000,30000,0,100,0.555979853647,3.01237677642319,0.246559430653299,0.0175979266026101,0.255191004784,0.0177384016670655,0.237660900621649,0.0174787563511715,9.55555555555556,36,14,3,2.7612572249,4.2025615101,4.2025615101,0.474615183992777
2,2,100,1,1,"expA2_00001_0100_002_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",2430,100,2330,201,98,103,197,100,97,0.0582,0.670625,0.7118,0.679684828282828,0.7291,0.7558,0.0866239119630567,0.0605822325204658,1.68088279123196,2.22901181020251,Inf,2.67810012453625,Inf,NA,0.337571316029757,2.14879258702342,0.158827172540787,0.00934035344741395,0.155811332032544,0.00870775739302177,0.161904560814505,0.0100633404805436,7.92964824120603,26,13,3,0.94127563874,2.47183628493,2.47183628493,0.504539489831819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,0,0,10000,10000,0,100,0.336304487776,2.15452814160325,0.15954929149797,0.0102852921228181,0.155444974892,0.00880854310364994,0.163780545730928,0.0118796906940579,11.4747474747475,26,17,3,1.8660945568,3.4013198627,3.4013198627,0.50544387953998
1002,2,100,1,1,"expA2_00001_0100_002_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_20kbp/expA2_00001_0100_002_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_20kbp/expA2_00001_0100_002_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_20kbp/expA2_00001_0100_002_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",4421,100,4321,203,100,103,197,100,97,0.16865,0.7397,0.74595,0.73334697979798,0.74925,0.7604,0.048742785845951,0.191040166061804,2.98844527369723,3.65970527376738,Inf,4.23413517489916,Inf,NA,0.651510258278024,4.01890183141821,0.303382533979492,0.0325183538924299,0.28962767681502,0.0344004984841016,0.317418102514667,0.0305385673533894,7.80904522613065,32,14,3,2.09622920795,4.4432611638804,4.4432611638804,0.517847640952467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,0,20000,20000,0,100,0.652106740018,4.01401968206477,0.30636071695736,0.0331605855734351,0.289187538574,0.0342825730281178,0.324065024569072,0.0317250449349373,10.5050505050505,26,19,3,3.2683870942,6.1321815492,6.1321815492,0.520840314261539
2002,2,100,1,1,"expA2_00001_0100_002_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_30kbp/expA2_00001_0100_002_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_30kbp/expA2_00001_0100_002_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_30kbp/expA2_00001_0100_002_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",2129,100,2029,235,99,136,197,100,97,0.102933333333333,0.666833333333333,0.709866666666667,0.679594653198653,0.7263,0.748266666666667,0.0808116841043954,0.110717908250554,1.64942011582401,2.19589947174281,2.10209053772722,2.59094861879195,4.5525201522083,0.674686174331173,0.365554555734282,2.08674748897476,0.163326252612602,0.00741600828398937,0.167421932639081,0.00746958850784448,0.159146987279459,0.0074028372868695,6.92462311557789,42,12,2,1.293075502365,1.8918521639,1.8918521639,0.482284505501625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,0,0,30000,30000,0,100,0.365365538364,2.07884402785735,0.164213899616751,0.00755069344166363,0.167565179928,0.00746292670300277,0.160758971460825,0.00769609603881007,11.2727272727273,32,17,2,2.5860907971,3.1819698698,3.1819698698,0.482026386517581
3,3,100,1,1,"expA2_00001_0100_003_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",4102,100,4002,198,100,98,197,100,97,0.1271,0.7333,0.7439,0.730978242424242,0.749,0.764,0.0473276696889603,0.139265410702692,2.63998568823909,3.33399111378464,Inf,3.96380410484851,Inf,NA,0.648887883248899,3.83436004493688,0.308148364306266,0.0325709498791625,0.293015153859833,0.0335946932703672,0.323590415782218,0.0313848691249076,8.81407035175879,26,16,5,1,6.0547895982,6.0547895982,0.519752597819158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,0,0,10000,10000,0,100,0.647819633063,3.78129956554358,0.309948693538579,0.0362064512855,0.292282688487,0.0333126964571038,0.328161069880412,0.0389075493334466,8.65656565656566,26,16,5,1.6391089345,5.6475726979,5.6475726979,0.521318043790209
1003,3,100,1,1,"expA2_00001_0100_003_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_20kbp/expA2_00001_0100_003_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_20kbp/expA2_00001_0100_003_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_20kbp/expA2_00001_0100_003_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",1967,100,1867,224,100,124,197,100,97,0.0499,0.7125125,0.73345,0.713197070707071,0.7429,0.75965,0.0632120554469965,0.0516375184104032,2.21354734480045,2.8227022502324,Inf,3.4244621046261,Inf,NA,0.53365417870508,2.85660962658275,0.231922734719273,0.0197278525376395,0.24398492364406,0.0215331870234882,0.219614378673571,0.0177856208538788,6.81407035175879,36,13,4,1.49998895555,3.0534741488,3.0534741488,0.468682063186704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,0,0,20000,20000,0,100,0.531891554034,2.86094406630939,0.232890475225888,0.0198687461150693,0.243124602614,0.021339185854871,0.222339828434021,0.0183377441276275,9.33333333333333,30,15,4,2.100350947,3.6600267794,3.6600267794,0.470079213221272
2003,3,100,1,1,"expA2_00001_0100_003_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_30kbp/expA2_00001_0100_003_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_30kbp/expA2_00001_0100_003_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_30kbp/expA2_00001_0100_003_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",4170,100,4070,194,100,94,197,100,97,0.1896,0.745066666666667,0.748383333333333,0.741201131313131,0.750566666666667,0.7579,0.0320931617941555,0.218566794050628,3.40860527719575,4.08491970726686,Inf,4.66095607381668,Inf,NA,0.96425153156849,5.30593592539931,0.42395601704451,0.0608699833872678,0.45060311513223,0.0558146580681746,0.396765100628469,0.0651780710640154,8.13065326633166,34,14,5,1,5.69379061279,5.69379061279,0.463205328558951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,0,0,30000,30000,0,100,0.963524236865,4.82548399789382,0.427770194300508,0.0635244348369254,0.448425570106,0.0563941458874233,0.406475992439175,0.0706366703752445,7.39393939393939,40,15,5,2.4855748615,6.9984713436,6.9984713436,0.467875050716365
3003,3,100,1,1,"expA2_00001_0100_003_1_40kbp","JC",NA,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_40kbp/expA2_00001_0100_003_1_40kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_40kbp/expA2_00001_0100_003_1_40kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_40kbp/expA2_00001_0100_003_1_40kbp_output_alignment.fa",FALSE,100,"Non-treelike",1511,100,1411,284,100,184,197,100,97,0.0439,0.63905,0.683325,0.657883449494949,0.711425,0.750875,0.0871484727692708,0.0452372520060412,1.43307619185769,1.81504177127665,1.82769415498651,2.22523717471122,4.67356141255393,NA,0.296835232535437,1.83144442033058,0.139194993365158,0.00608531989718795,0.134482676733612,0.0064127678815946,0.144003479723878,0.00576760304784013,7.0251256281407,40,14,4,1.151925403427,2.37829270775,2.37829270775,0.51204750858621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,0,0,40000,40000,0,100,0.296363167112,1.82338100765438,0.139562455364467,0.00625425851702026,0.134450700572,0.00634599366408362,0.144832305665979,0.00616952577742111,9.64646464646465,26,15,4,2.0259926632,2.6803456549,2.6803456549,0.510978175279739
