"","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"1",1,1,100,1,1,"expA2_00001_0100_001_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_001_1_10kbp/expA2_00001_0100_001_1_10kbp_output_alignment.fa"
"2",2,2,100,1,1,"expA2_00001_0100_002_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_002_1_10kbp/expA2_00001_0100_002_1_10kbp_output_alignment.fa"
"3",3,3,100,1,1,"expA2_00001_0100_003_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_003_1_10kbp/expA2_00001_0100_003_1_10kbp_output_alignment.fa"
"4",4,4,100,1,1,"expA2_00001_0100_004_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_004_1_10kbp/expA2_00001_0100_004_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_004_1_10kbp/expA2_00001_0100_004_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_004_1_10kbp/expA2_00001_0100_004_1_10kbp_output_alignment.fa"
"5",5,5,100,1,1,"expA2_00001_0100_005_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_005_1_10kbp/expA2_00001_0100_005_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_005_1_10kbp/expA2_00001_0100_005_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_005_1_10kbp/expA2_00001_0100_005_1_10kbp_output_alignment.fa"
"6",6,6,100,1,1,"expA2_00001_0100_006_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_006_1_10kbp/expA2_00001_0100_006_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_006_1_10kbp/expA2_00001_0100_006_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_006_1_10kbp/expA2_00001_0100_006_1_10kbp_output_alignment.fa"
"7",7,7,100,1,1,"expA2_00001_0100_007_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_007_1_10kbp/expA2_00001_0100_007_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_007_1_10kbp/expA2_00001_0100_007_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_007_1_10kbp/expA2_00001_0100_007_1_10kbp_output_alignment.fa"
"8",8,8,100,1,1,"expA2_00001_0100_008_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_008_1_10kbp/expA2_00001_0100_008_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_008_1_10kbp/expA2_00001_0100_008_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_008_1_10kbp/expA2_00001_0100_008_1_10kbp_output_alignment.fa"
"9",9,9,100,1,1,"expA2_00001_0100_009_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_009_1_10kbp/expA2_00001_0100_009_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_009_1_10kbp/expA2_00001_0100_009_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_009_1_10kbp/expA2_00001_0100_009_1_10kbp_output_alignment.fa"
"10",10,10,100,1,1,"expA2_00001_0100_010_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_010_1_10kbp/expA2_00001_0100_010_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_010_1_10kbp/expA2_00001_0100_010_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_010_1_10kbp/expA2_00001_0100_010_1_10kbp_output_alignment.fa"
