"X","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","num_resolved_quartets","num_partly_resolved_quartets","num_unresolved_quartets","total_num_quartets","proportion_resolved_quartets","quartet_treeness_min","quartet_treeness_1st_qu","quartet_treeness_median","quartet_treeness_mean","quartet_treeness_3rd_qu","quartet_treeness_max","quartet_treeness_num_sampled_quartets","quartet_treeness_total_num_quartets"
1,1,1,5,1,0.01,"expB1_00001_0005_001_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_0.01/expB1_00001_0005_001_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_0.01/expB1_00001_0005_001_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_0.01/expB1_00001_0005_001_0.01_output_alignment.fa",100,0,0,100,1,0.116351423722915,0.138277992763639,0.269731783049488,0.237584826615291,0.314401161288002,0.349161772252409,5,5
1251,1251,1,5,1,0.1,"expB1_00001_0005_001_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_0.1/expB1_00001_0005_001_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_0.1/expB1_00001_0005_001_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_0.1/expB1_00001_0005_001_0.1_output_alignment.fa",125,0,0,125,1,0.111485509846473,0.128328409227477,0.198378223247129,0.17692199552572,0.222450844484937,0.223966990822583,5,5
2501,2501,1,5,1,1,"expB1_00001_0005_001_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_1/expB1_00001_0005_001_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_1/expB1_00001_0005_001_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_001_1/expB1_00001_0005_001_1_output_alignment.fa",125,0,0,125,1,0.10333100391325,0.131378107732829,0.322825810161351,0.254432079070205,0.347764864693132,0.366860608850465,5,5
2,2,2,5,1,0.01,"expB1_00001_0005_002_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_0.01/expB1_00001_0005_002_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_0.01/expB1_00001_0005_002_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_0.01/expB1_00001_0005_002_0.01_output_alignment.fa",125,0,0,125,1,0.325105446879751,0.344365290074126,0.513764882667167,0.46500102276502,0.537183446170811,0.604586048033245,5,5
1252,1252,2,5,1,0.1,"expB1_00001_0005_002_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_0.1/expB1_00001_0005_002_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_0.1/expB1_00001_0005_002_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_0.1/expB1_00001_0005_002_0.1_output_alignment.fa",125,0,0,125,1,0.0622105916848015,0.0639004272632928,0.172628353516658,0.15775005062122,0.233363200425618,0.256647680215729,5,5
2502,2502,2,5,1,1,"expB1_00001_0005_002_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_1/expB1_00001_0005_002_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_1/expB1_00001_0005_002_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_002_1/expB1_00001_0005_002_1_output_alignment.fa",93,11,21,125,0.744,0.199594627326797,0.245340596483952,0.296631047915903,0.282177944158321,0.315229968795638,0.354093480269315,5,5
3,3,3,5,1,0.01,"expB1_00001_0005_003_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_0.01/expB1_00001_0005_003_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_0.01/expB1_00001_0005_003_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_0.01/expB1_00001_0005_003_0.01_output_alignment.fa",125,0,0,125,1,0.0448461065839809,0.0475811520750447,0.191784739027944,0.162333585571122,0.233898236330646,0.293557693837992,5,5
1253,1253,3,5,1,0.1,"expB1_00001_0005_003_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_0.1/expB1_00001_0005_003_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_0.1/expB1_00001_0005_003_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_0.1/expB1_00001_0005_003_0.1_output_alignment.fa",125,0,0,125,1,0.191853471375602,0.205292056461233,0.351101498381436,0.322105565986987,0.355485032656161,0.506795771060505,5,5
2503,2503,3,5,1,1,"expB1_00001_0005_003_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_1/expB1_00001_0005_003_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_1/expB1_00001_0005_003_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_003_1/expB1_00001_0005_003_1_output_alignment.fa",125,0,0,125,1,0.162523215924699,0.204212532555604,0.360496099290525,0.308934656383036,0.405814411427668,0.411627022716682,5,5
4,4,4,5,1,0.01,"expB1_00001_0005_004_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_0.01/expB1_00001_0005_004_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_0.01/expB1_00001_0005_004_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_004_0.01/expB1_00001_0005_004_0.01_output_alignment.fa",125,0,0,125,1,0.151500044089664,0.167772506185282,0.203864713543899,0.200952790331909,0.226371903290369,0.255254784550329,5,5
