"","row_id","num_reps","num_taxa","num_trees","tree_age","tree_depth_subspersite","recombination_value","recombination_type","speciation_rate","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","starting_tree_file","gene_tree_file","partition_file","output_alignment_file"
"1",1,1,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_001_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_001_5_0_Ancient_0.1/expB2_00200_0010_001_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_001_5_0_Ancient_0.1/expB2_00200_0010_001_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_001_5_0_Ancient_0.1/expB2_00200_0010_001_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_001_5_0_Ancient_0.1/expB2_00200_0010_001_5_0_Ancient_0.1_output_alignment.fa"
"2",2,2,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_002_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_002_5_0_Ancient_0.1/expB2_00200_0010_002_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_002_5_0_Ancient_0.1/expB2_00200_0010_002_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_002_5_0_Ancient_0.1/expB2_00200_0010_002_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_002_5_0_Ancient_0.1/expB2_00200_0010_002_5_0_Ancient_0.1_output_alignment.fa"
"3",3,3,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_003_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_003_5_0_Ancient_0.1/expB2_00200_0010_003_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_003_5_0_Ancient_0.1/expB2_00200_0010_003_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_003_5_0_Ancient_0.1/expB2_00200_0010_003_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_003_5_0_Ancient_0.1/expB2_00200_0010_003_5_0_Ancient_0.1_output_alignment.fa"
"4",4,4,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_004_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_004_5_0_Ancient_0.1/expB2_00200_0010_004_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_004_5_0_Ancient_0.1/expB2_00200_0010_004_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_004_5_0_Ancient_0.1/expB2_00200_0010_004_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_004_5_0_Ancient_0.1/expB2_00200_0010_004_5_0_Ancient_0.1_output_alignment.fa"
"5",5,5,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_005_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_005_5_0_Ancient_0.1/expB2_00200_0010_005_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_005_5_0_Ancient_0.1/expB2_00200_0010_005_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_005_5_0_Ancient_0.1/expB2_00200_0010_005_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_005_5_0_Ancient_0.1/expB2_00200_0010_005_5_0_Ancient_0.1_output_alignment.fa"
"6",6,6,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_006_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_006_5_0_Ancient_0.1/expB2_00200_0010_006_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_006_5_0_Ancient_0.1/expB2_00200_0010_006_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_006_5_0_Ancient_0.1/expB2_00200_0010_006_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_006_5_0_Ancient_0.1/expB2_00200_0010_006_5_0_Ancient_0.1_output_alignment.fa"
"7",7,7,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_007_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_007_5_0_Ancient_0.1/expB2_00200_0010_007_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_007_5_0_Ancient_0.1/expB2_00200_0010_007_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_007_5_0_Ancient_0.1/expB2_00200_0010_007_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_007_5_0_Ancient_0.1/expB2_00200_0010_007_5_0_Ancient_0.1_output_alignment.fa"
"8",8,8,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_008_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_008_5_0_Ancient_0.1/expB2_00200_0010_008_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_008_5_0_Ancient_0.1/expB2_00200_0010_008_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_008_5_0_Ancient_0.1/expB2_00200_0010_008_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_008_5_0_Ancient_0.1/expB2_00200_0010_008_5_0_Ancient_0.1_output_alignment.fa"
"9",9,9,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_009_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_009_5_0_Ancient_0.1/expB2_00200_0010_009_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_009_5_0_Ancient_0.1/expB2_00200_0010_009_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_009_5_0_Ancient_0.1/expB2_00200_0010_009_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_009_5_0_Ancient_0.1/expB2_00200_0010_009_5_0_Ancient_0.1_output_alignment.fa"
"10",10,10,10,200,5,0.005,0,"Ancient",0.1,"expB2_00200_0010_010_5_0_Ancient_0.1","JC",200,40000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_010_5_0_Ancient_0.1/expB2_00200_0010_010_5_0_Ancient_0.1_starting_tree.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_010_5_0_Ancient_0.1/expB2_00200_0010_010_5_0_Ancient_0.1_ms_gene_trees.txt","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_010_5_0_Ancient_0.1/expB2_00200_0010_010_5_0_Ancient_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B2/expB2_00200_0010_010_5_0_Ancient_0.1/expB2_00200_0010_010_5_0_Ancient_0.1_output_alignment.fa"
